type,events,url,place,time,description,sources,id,place.name,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName,place.org.type,place.org.dirName,place.org.events,place.org.id,place.org.places,place.org.kind,place.org.parent.type,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.places,place.org.parent.kind,place.org.parent.parent,place.org.parent.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent,place.place,place.org.parent.parent.parent
case,"",https://rr0.org/time/1/9/index.html,,1900,1900s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1910s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1920s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1930s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1940s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1950s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1960s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1970s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1980s,"",1900
case,"",https://rr0.org/time/1/9/index.html,,1900,1990s,"",1900
