caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
5099,https://nuforc.org/sighting/?id=5099,Louden County,VA,USA,1979-02-11 14:00,Disk,While driving saw a disc shaped object very briefly. My girlfriend wgo was with me also saw it. The interesting thing about is that we ,1998-12-12T23:00:00.000Z,1999-01-27T23:00:00.000Z,false
26918,https://nuforc.org/sighting/?id=26918,Huntersville,NC,USA,1979-02-10 23:00,Oval,UFO near switchyard of nuclear power plant.,2003-01-05T23:00:00.000Z,2003-03-20T23:00:00.000Z,false
40846,https://nuforc.org/sighting/?id=40846,Tallmadge,OH,USA,1979-02-25 21:00,Triangle,"Slow moving triangular shape---at least the light pattern,seen in tallmadge ohio  2-5-79",2004-11-29T23:00:00.000Z,2004-12-02T23:00:00.000Z,false
40965,https://nuforc.org/sighting/?id=40965,Tallmadge,OH,USA,1979-02-05 21:00,Triangle,"ufo lights seen in Tallmadge, Ohio ,beginning on 2-05-79",2004-12-04T23:00:00.000Z,2004-12-13T23:00:00.000Z,false
41384,https://nuforc.org/sighting/?id=41384,Lima (Peru),,Peru,1979-02-01 03:00,Circle,i woke up and i saw this thing about 20 floors up not moving.,2005-01-04T23:00:00.000Z,2005-01-18T23:00:00.000Z,false
42513,https://nuforc.org/sighting/?id=42513,Lake Arrowhead,CA,USA,1979-02-01 02:30,Circle,"My husband, 3 children, and I moved to LK Arrowhead in 1971. We were both Fine Artists. We wanted to get away from Los Angeles, the sch",2005-02-25T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
43094,https://nuforc.org/sighting/?id=43094,Helena,MT,USA,1979-02-10 09:30,Disk,Saucer shaped object hovering on ridge between two mountain peaks..about 300 yds out.,2005-03-19T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
60251,https://nuforc.org/sighting/?id=60251,Alexandria,VA,USA,1979-02-13 01:00,Light,white light over Alexandria at night grew in intensity-took three pictures,2007-12-08T23:00:00.000Z,2008-02-13T23:00:00.000Z,false
64794,https://nuforc.org/sighting/?id=64794,Pismo Beach,CA,USA,1979-02-20 02:00,Triangle,An enormous triangle hovered over me for at least seven minutes.,2008-07-25T22:00:00.000Z,2008-08-11T22:00:00.000Z,false
74509,https://nuforc.org/sighting/?id=74509,Grover Beach,CA,USA,1979-02-15 21:30,Other,Grover Beach UFO coming from ocean,2010-02-27T23:00:00.000Z,2010-04-12T22:00:00.000Z,false
116100,https://nuforc.org/sighting/?id=116100,San Francisco,CA,USA,1979-02-23 15:00,,Giant Orange Orb- Scoop marks - Bright lights in room.,2014-12-18T23:00:00.000Z,2014-12-21T23:00:00.000Z,false
153963,https://nuforc.org/sighting/?id=153963,Meadville,MS,USA,1979-02-17 21:00,Light,"Very bright, fast moving light spreeing across sky.",2020-03-08T23:00:00.000Z,2020-04-30T22:00:00.000Z,false
170113,https://nuforc.org/sighting/?id=170113,Manassas,VA,USA,1979-02-01 19:00,Sphere,Vibrating Pulsating White Globe traveled above the Lake,2022-06-26T22:00:00.000Z,2022-09-08T22:00:00.000Z,false
