description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.org._parent,place.org.events,place.org.id,place.org.kind,place.org.places,place.org.type,place.org._parent._parent._parent._parent,place.org._parent._parent._parent.events,place.org._parent._parent._parent.id,place.org._parent._parent._parent.kind,place.org._parent._parent._parent.places,place.org._parent._parent._parent.type,place.org._parent._parent.events,place.org._parent._parent.id,place.org._parent._parent.kind,place.org._parent._parent.places,place.org._parent._parent.type,place.org._parent.events,place.org._parent.id,place.org._parent.kind,place.org._parent.places,place.org._parent.type,place.org._parent._parent,place.org._parent._parent._parent
en,"",sighting,1955-01$,,"",1955-01,event,https://rr0.org/time/1/9/5/5/index.html#1955-01
en,"",sighting,1955-02$,,"",1955-02,event,https://rr0.org/time/1/9/5/5/index.html#1955-02
Printemps Naissance de la FSR. en en avril en mai,"",sighting,1955-03$,,"",1955-03,event,https://rr0.org/time/1/9/5/5/index.html#1955-03
en,"",sighting,1955-06$,,"",1955-06,event,https://rr0.org/time/1/9/5/5/index.html#1955-06
en,"",sighting,1955-07$,,"",1955-07,event,https://rr0.org/time/1/9/5/5/index.html#1955-07
en,"",sighting,1955-08$,,"",1955-08,event,https://rr0.org/time/1/9/5/5/index.html#1955-08
en,"",sighting,1955-09$,,"",1955-09,event,https://rr0.org/time/1/9/5/5/index.html#1955-09
en,"",sighting,1955-10$,,"",1955-10,event,https://rr0.org/time/1/9/5/5/index.html#1955-10
en,"",sighting,1955-11$,,"",1955-11,event,https://rr0.org/time/1/9/5/5/index.html#1955-11
en,"",sighting,1955-12$,,"",1955-12,event,https://rr0.org/time/1/9/5/5/index.html#1955-12
1er vol du B2 depuis la Zone 51.,"",sighting,1955$,,"",1955,event,https://rr0.org/time/1/9/5/5/index.html
