description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
,"",sighting,1998-01$,,"",1998-01,event,https://rr0.org/time/1/9/9/8/index.html#1998-01
,"",sighting,1998-02$,,"",1998-02,event,https://rr0.org/time/1/9/9/8/index.html#1998-02
,"",sighting,1998-03$,,"",1998-03,event,https://rr0.org/time/1/9/9/8/index.html#1998-03
,"",sighting,1998-04$,,"",1998-04,event,https://rr0.org/time/1/9/9/8/index.html#1998-04
,"",sighting,1998-06$,,"",1998-06,event,https://rr0.org/time/1/9/9/8/index.html#1998-06
,"",sighting,1998-07$,,"",1998-07,event,https://rr0.org/time/1/9/9/8/index.html#1998-07
,"",sighting,1998-08$,,"",1998-08,event,https://rr0.org/time/1/9/9/8/index.html#1998-08
,"",sighting,1998-09$,,"",1998-09,event,https://rr0.org/time/1/9/9/8/index.html#1998-09
,"",sighting,1998-10$,,"",1998-10,event,https://rr0.org/time/1/9/9/8/index.html#1998-10
,"",sighting,1998-11$,,"",1998-11,event,https://rr0.org/time/1/9/9/8/index.html#1998-11
,"",sighting,1998-12$,,"",1998-12,event,https://rr0.org/time/1/9/9/8/index.html#1998-12
