caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
5296,https://nuforc.org/sighting/?id=5296,"Paramus (Route 4, eastbound lane)",NJ,USA,1978-05-24 01:30,Cigar,I don't remember the exact date It happened. In 1978 when i was driving home to new york state. I was driving home on route 4 west when,1999-01-08T23:00:00.000Z,1999-02-15T23:00:00.000Z,false
17787,https://nuforc.org/sighting/?id=17787,Big Bear Lake,CA,USA,1978-05-01 18:00,Disk,"Disk / cigar object hovering east of Big Bear Lake, CA",2001-05-24T22:00:00.000Z,2001-08-04T22:00:00.000Z,false
18338,https://nuforc.org/sighting/?id=18338,San Diego,CA,USA,1978-05-10 20:30,Changing,"UFO hovering behind our backyard, the night of May 10,1978",2001-07-07T22:00:00.000Z,2001-08-04T22:00:00.000Z,false
28334,https://nuforc.org/sighting/?id=28334,Midway/Marion,KY,USA,1978-05-02 21:00,Other,"My friend and I seen this square ufo at my fluorspar mine, it was about 40+40+40ft. it did not have any lights on it, my lights reflect",2003-04-05T22:00:00.000Z,2003-04-21T22:00:00.000Z,false
32099,https://nuforc.org/sighting/?id=32099,Gardner,MA,USA,1978-05-05 06:30,Oval,"At the time I was six years old.  It was light outside and I looked out our bay window and almost at eye level, I noticed what at first",2003-10-06T22:00:00.000Z,2003-10-06T22:00:00.000Z,false
32307,https://nuforc.org/sighting/?id=32307,Pasadena,CA,USA,1978-05-05 13:00,Cigar,I submitted the following to a French UMMO site isn1997.

 For years I have been trying to track down a craft's symbol my 4 yr.

ol,2003-10-17T22:00:00.000Z,2003-10-30T23:00:00.000Z,false
32418,https://nuforc.org/sighting/?id=32418,Fort Worth,TX,USA,1978-05-06 00:00,Light,UFO manuevering over an uninterested Carswell Air Force Base,2003-10-18T22:00:00.000Z,2003-10-30T23:00:00.000Z,false
35806,https://nuforc.org/sighting/?id=35806,Atlantic Ocean/Caribbean sea,,Unspecified,1978-05-20 17:00,Unknown,Supersonic clouds,2004-03-23T23:00:00.000Z,2004-03-27T23:00:00.000Z,false
36902,https://nuforc.org/sighting/?id=36902,Wrightstown,PA,USA,1978-05-01 00:00,Light,I was contacted years ago by NICAP about a news story that was written about my experience in Bucks County Pennsylvania in either 1978,2004-05-12T22:00:00.000Z,2004-06-03T22:00:00.000Z,false
51939,https://nuforc.org/sighting/?id=51939,Sandwich,MA,USA,1978-05-10 20:30,Triangle,Irregularly-shaped large elongated triangle with blue after-glow seen soundlessly moving over Cape Cod.,2006-08-04T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
55578,https://nuforc.org/sighting/?id=55578,Grand Prairie,TX,USA,1978-05-07 21:50,Triangle,1978 Ufo Grand Prairie Century 4 drive In.,2007-03-05T23:00:00.000Z,2007-03-07T23:00:00.000Z,false
61259,https://nuforc.org/sighting/?id=61259,Philadelphia,PA,USA,1978-05-29 20:00,,"Ball of fire streaks eastward over Phila., lands in Atlantic Ocean one mile from Resorts Intl.. ((NUFORC Note:  Meteor??  PD))",2008-01-27T23:00:00.000Z,2008-02-13T23:00:00.000Z,false
88536,https://nuforc.org/sighting/?id=88536,Barrington,IL,USA,1978-05-06 21:00,Triangle,Very large triangular humming (pulsing) craft with several lights moving slowly,2012-04-19T22:00:00.000Z,2012-05-12T22:00:00.000Z,false
124736,https://nuforc.org/sighting/?id=124736,Covington,WA,USA,1978-05-15 00:00,Disk,"Disk-shaped saucer seen over Covinton, WA, 1978",2015-12-16T23:00:00.000Z,2015-12-20T23:00:00.000Z,false
133428,https://nuforc.org/sighting/?id=133428,Kyle,SD,USA,1978-05-15 21:00,Cigar,"It was quiet, and very colorful, the most brilliant lights i have ever seen.",2017-04-03T22:00:00.000Z,2017-04-06T22:00:00.000Z,false
148657,https://nuforc.org/sighting/?id=148657,Oklahoma City,OK,USA,1978-05-15 22:30,Disk,"Quiet, steel, flying saucer shaped vehicle flew to me and friend. It came from North. Flew South to us. But di",2019-09-03T22:00:00.000Z,2019-09-05T22:00:00.000Z,false
150630,https://nuforc.org/sighting/?id=150630,Teaneck,NJ,USA,1978-05-05 15:00,Other,Flying Orange Spider/Octopus looking creature spotted in New Jersey 1978,2019-11-11T23:00:00.000Z,2019-11-30T23:00:00.000Z,false
155366,https://nuforc.org/sighting/?id=155366,Fort Yates,ND,USA,1978-05-15 23:00,Oval,One day we will meet.,2020-04-17T22:00:00.000Z,2020-05-14T22:00:00.000Z,false
161651,https://nuforc.org/sighting/?id=161651,Temple,TX,USA,1978-05-10 21:00,Unknown,It was eerie! no sound! There was something there absolutely! With light’s on it!,2021-01-17T23:00:00.000Z,2021-01-18T23:00:00.000Z,false
163381,https://nuforc.org/sighting/?id=163381,Pine Bush,NY,USA,1978-05-27 20:00,Other,"There was a very large object with bright yellow lights going across, it was moving slowly for about 7 seconds, then vanished.",2021-05-27T22:00:00.000Z,2021-07-30T22:00:00.000Z,false
164258,https://nuforc.org/sighting/?id=164258,Clarence Center,NY,USA,1978-05-01 00:30,,A brief up close interaction with a massive UFO.,2021-08-06T22:00:00.000Z,2021-08-15T22:00:00.000Z,false
171467,https://nuforc.org/sighting/?id=171467,Allendale,MI,USA,1978-05-26 19:30,Cigar,3 cigar shaped craft in formation.,2022-08-28T22:00:00.000Z,2022-09-08T22:00:00.000Z,false
172858,https://nuforc.org/sighting/?id=172858,Tiller,OR,USA,1978-05-19 21:25,Disk,Alien in human form and many size and shape of crafts,2022-11-06T23:00:00.000Z,2022-12-21T23:00:00.000Z,true
