description,events,eventType,id,place,sources,time,type,url
00,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
02,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
04,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
07,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
09,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
10,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
11,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
16,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
18,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
19,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
21,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
22,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
23,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
24,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
29,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
31,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
32,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
35,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
37,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
39,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
40,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
41,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
43,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
44,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
45,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
49,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
50,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
51,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
52,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
53,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
55,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
58,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
59,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
60,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
62,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
63,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
68,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
69,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
71,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
77,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
79,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
80,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
82,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
83,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
84,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
86,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
87,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
88,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
89,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
90,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
93,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
96,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
97,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
98,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
99,"",sighting,1700$,,"",1700,event,https://rr0.org/time/1/7/index.html
