description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
dimanche 13 août Rencontre de Facius Cardan.,"",sighting,1493-08$,,"",1493-08,event,https://rr0.org/time/1/4/9/3/index.html#1493-08
Naissance de Paracelse.,"",sighting,1493$,,"",1493,event,https://rr0.org/time/1/4/9/3/index.html
Publication annuelle du Calendrier des Bergers.,"",sighting,1493$,,"",1493,event,https://rr0.org/time/1/4/9/3/index.html
