description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"Entre et Argenton, en plein montagne, un berger repère d'étranges sillons rectilignes.","",sighting,1978-07$Colmars,,,"",,"",Colmars,place,""""","""",s1,"""",,""Traces mystérieuses dans la montagne""",1978-07,event,https://rr0.org/time/1/9/7/8/07/index.html
"le A 3 miles au nord-ouest de 3 familles sont surprises à par une lumière orange très brillantee phénomène semble survoler un réservoir de carburant et une camionnette pickup, qui était garé à l'extérieur d'une des maisons. Le matin suivant, une poudre fine fut trouvée sur le toit de l'habitacle du pickup, quq>n des témoins recueillit et mit dans un pot.","",sighting,1978-07-01T12:05$TaosNouveauMexique,,,"",,"",Taos (Nouveau-Mexique),place,"""Nelson 1978"","""",s2,"""",,26 < Rommel",1978-07-01T12:05,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-01T12:05
"le , à peu près 120 têtes de bétail appartenant à un rancher sont rassemblées dans un corral et dirigées dans through a squeeze chute sous une lumière ultra-violette. On trouve que 5 animaux avaient une substance luisante sur le côté droit de la nuque, l'oreille droite et la patte droite. Des échantillons du cuir affecté comme des échantillons de ""contrôle"" non-affectés furent envoyés à un laboratoire d'Albuquerque, qui rapporte que les cuirs affectés contiennent un dépot significatif de magnésium et de potassium. Un des expérimenteurs fait remarquer que le mutilé est généralement trouvé reposant sur leur côté droit — le même côté où le bétail vivant est ""marqué.","",sighting,1978-07-05$DulceNouveauMexique,,,"",,"",Dulce (Nouveau-Mexique),place,"""""""Alburquerque Journal, 15 décembre 1978 < Rommel, K. M., Jr."""""","""",s3,"""",,""1978 Incidents"" in ""A Popular History of Livestock Mutilations in New Mexico",1978-07-05,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-05
"Photographie le 13 à Las Vegas le , photographie (ci-contre).","",sighting,1978-07-13$city3240000,,,"",,"",,place,"",1978-07-13,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-13
"le Au Ranch de M. Robert Rodella (secteur de Tierra Amarilla, comté de Rio Arriba, Nouveau-Mexique), enquête sur la ""mutilation"" d'une vache gravide : fœtus extirpé du ventre de la bête etêc;te du êenlevée ""avec une grande précision"", 2 pattes dites brisées par l'enquêteur. La bête est trouv&eacêans un pâturage parfaitement clos au portail d'acier cadenassé.","",sighting,1978-07-12$,,"""""""Sider, J."""""","""",s4,"""",,",1978-07-12,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-12
"le A la Ferme Jim Black, près de Lindrith (comté de Rio Arriba, Nouveau-Mexique), découverte d'un taureau de 1,5 an, noir à taches blanches, ""mutilé"" hors de son pâturage sur le bas-côté d'une route : au côté de l'inspecteur du bétail Aparicio Gurule, Daniel P. Sanchez, de la Police d'État du Nouveau-Mexique constate une queue absente, un morceau de peau de la zone rectale enlevé, laissant une plaie ronde de 18,4 cm de rayon, le pénis et organes sexuels enlevés ainsi que les 2 yeux. Près de la tête de l'animal, il y a êaute broussaille dont une partie montrerait des traces de turbulences. Un témoin qui passa sur la route le même jour à 15:ê ne pas avoir vu la dépouille, mais l'avoir remarquée à en revenant chez lui. La clôture du champ, près de l'animal, ne présentait aucune trace de détérioration, ni même d'ailleurs dans son pourtour. Réunion au siège des Nations-Unies pour discuter du support de l'ONU à l'étude des ovnis.","",sighting,1978-07-14$,,"""""""Sider, J."""""","""",s5,"""",,",1978-07-14,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-14
"le A Groom Lake, 1er vol du 2nd prototype de F117 Have Blue (#1002).","",sighting,1978-07-20$,,"""""""Peebles, Curtis"""""","""",s6,"""",,Dark Eagles",1978-07-20,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-20
"le vers 21 A , une automobiliste et ses passagères observent durant plusieurs minutes un cigare lumineux orangé ""de 2 m de long"" se déplaçant rapidement dans le sens sud-est/nord-ouest. Estimé voler à 200 m du sol, il semble tourner sur lui-même. Il disparaît rapidement à l'horizon. en Sur la plage du Paracou aux Sables d'Olonne (Vendée), quartier de La Chaume, observation (indiquant qu'un PV de gendarmerie aurait été dressé) (émettant tout de même des doutes quand à une éventuelle confusion avec un phare ou une balise).","",sighting,1978-07-23$SaintLysHauteGaronneMidiPyrenees,,,"",,"","Saint Lys (Haute-Garonne, Midi Pyrénées)",place,"""GEPAN"","""",s7,"""",,PAN classé C,""""""Figuet, M."""""","""",s8,"""",,",1978-07-23,event,https://rr0.org/time/1/9/7/8/07/index.html#1978-07-23
Fin de la vague d'observation de cigares au-dessus du lac Michigan.,"",sighting,1978-07$,,"",1978-07,event,https://rr0.org/time/1/9/7/8/07/index.html
