description,events,eventType,id,place,sources,time,type,url
"3 août : Au Japon, pendant une période de grands troubles sociaux, on observe 3 objets ronds d'un brillant peu ordinaire. Peu après, ils se réunissent pour n'en former qu'un seul.","",sighting,989$,,"""""""Vallée, J."""""","""",s1,"""",,",989,event,https://rr0.org/time/0/9/8/9/index.html
5 septembre : Périhélie de la comète de Halley.,"",sighting,989$,,"",989,event,https://rr0.org/time/0/9/8/9/index.html
