caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
3573,https://nuforc.org/sighting/?id=3573,Houston,TX,USA,1979-01-31 11:00,,"I saw a grey rectangular patch against blue sky, thru binoculars.",1998-05-18T22:00:00.000Z,1999-01-27T23:00:00.000Z,false
5385,https://nuforc.org/sighting/?id=5385,Los Angeles,CA,USA,1979-01-15 17:00,,Fireball passing through outer atmosphere about sunset.,1999-01-29T23:00:00.000Z,1999-02-15T23:00:00.000Z,false
12061,https://nuforc.org/sighting/?id=12061,Redondo Beach,CA,USA,1979-01-01 20:00,Disk,Low-altitude disk flying slowly; red lights around perimeter.,2000-02-18T23:00:00.000Z,2000-02-22T23:00:00.000Z,false
23568,https://nuforc.org/sighting/?id=23568,Silvertown (american name),,South Korea,1979-01-01 03:00,Other,Visitation Experience in Korea and other events,2002-07-01T22:00:00.000Z,2002-07-25T22:00:00.000Z,false
43102,https://nuforc.org/sighting/?id=43102,Salt Lake City,UT,USA,1979-01-15 20:30,Triangle,enormous triangle gliding silently overhead,2005-03-19T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
46004,https://nuforc.org/sighting/?id=46004,Orange,CA,USA,1979-01-01 17:00,Disk,In Broad daylight saucer appeared 50 feet above after I looked up to see what the humming and deep bass sound was,2005-09-02T22:00:00.000Z,2005-09-14T22:00:00.000Z,false
61444,https://nuforc.org/sighting/?id=61444,Key West,FL,USA,1979-01-09 14:30,Disk,A small unexplainable hovering object I spotted as a child of 10 while walking home from school one day in the 70s,2008-02-05T23:00:00.000Z,2008-02-13T23:00:00.000Z,false
68762,https://nuforc.org/sighting/?id=68762,Toronto (Canada),ON,Canada,1979-01-07 20:00,Triangle,"Can’t say for sure the date or year, I was about 14 at the time, sitting on my porch with my neighbors they were about  9, 11 years old",2009-02-17T23:00:00.000Z,2009-03-18T23:00:00.000Z,false
76816,https://nuforc.org/sighting/?id=76816,Clines Corners/Tijeras (between),NM,USA,1979-01-15 20:00,Triangle,"25 minute event of a Triangle shaped object seen by many on Interstate 40 in New Mexico, between Clines Corner and Tijera,New Mexico",2010-07-26T22:00:00.000Z,2010-07-27T22:00:00.000Z,false
91349,https://nuforc.org/sighting/?id=91349,Norman,OK,USA,1979-01-02 03:00,,"Encounter, clear recall of it",2012-07-30T22:00:00.000Z,2012-08-04T22:00:00.000Z,false
104473,https://nuforc.org/sighting/?id=104473,Hwy 80,CA,USA,1979-01-01 02:00,Disk,This event was called into the Air Force at 7:00 AM  01/01/1979 and all 4 witnesses gave personal detailed information.,2013-11-14T23:00:00.000Z,2013-11-19T23:00:00.000Z,false
148207,https://nuforc.org/sighting/?id=148207,Humnoke,AR,USA,1979-01-07 21:30,Light,Bright light on ground about two miles from house. Was emitting huge radiant various colored lights that could have been seen from hund,2019-08-09T22:00:00.000Z,2019-08-22T22:00:00.000Z,false
