caseNumber,url,sightingPlace,city,dateTime,dateTimeRefinement,classification
415,https://www.fufora.fi/ufodata.php?u=415&p=1&sid=,Sääksmäen riippusillan lähellä,Valkeakoski,1979-01-03,,1ESK5Y4
2459,https://www.fufora.fi/ufodata.php?u=2459&p=1&sid=,Saarijärvi,Ranua,1979-01-01,Tarkkaa aikaa en enää muista muista mutta keskikesää se oli,7ESK8P6
