description,events,eventType,id,place,sources,time,type,url
2000s,"",sighting,2000$,,"",2000,event,https://rr0.org/time/2/0/index.html
2010s,"",sighting,2000$,,"",2000,event,https://rr0.org/time/2/0/index.html
2020s,"",sighting,2000$,,"",2000,event,https://rr0.org/time/2/0/index.html
