description,events,eventType,id,place,sources,time,type,url
,"",sighting,1909-02$,,"",1909-02,event,https://rr0.org/time/1/9/0/9/index.html#1909-02
,"",sighting,1909-03$,,"",1909-03,event,https://rr0.org/time/1/9/0/9/index.html#1909-03
,"",sighting,1909-05$,,"",1909-05,event,https://rr0.org/time/1/9/0/9/index.html#1909-05
,"",sighting,1909-06$,,"",1909-06,event,https://rr0.org/time/1/9/0/9/index.html#1909-06
,"",sighting,1909-07$,,"",1909-07,event,https://rr0.org/time/1/9/0/9/index.html#1909-07
,"",sighting,1909-08$,,"",1909-08,event,https://rr0.org/time/1/9/0/9/index.html#1909-08
,"",sighting,1909-09$,,"",1909-09,event,https://rr0.org/time/1/9/0/9/index.html#1909-09
,"",sighting,1909-11$,,"",1909-11,event,https://rr0.org/time/1/9/0/9/index.html#1909-11
,"",sighting,1909-12$,,"",1909-12,event,https://rr0.org/time/1/9/0/9/index.html#1909-12
