url,place,time,description,sources
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,"Orchidée, de la société grenobloise Symag : un micro à l'architecture novatrice.",""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,Lancement de Venera 15.,""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,Lancement de Venera 16.,""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,"Pioneer 10, le plus lointain engin jamais construit par l'homme, atteint l'orbite de Pluton.",""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,"1er vol du HALSOL à Groom Lake. HALSOL est un UAV de haute altitude fonctionnant à l'énergie solaire. Le programme d'essais dure 2 mois Peebles, Curtis: Dark Eagles, Presido Press, 1995.",""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,Remise du rapport l'Enigme OVNI.,""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,"Sally Ride de la 1ère américaine de l'espace, à bord de Challenger.",""
https://rr0.org/time/1/9/8/3/06/index.html,,1983-06,"Kathie Davis, ressent la ""présence"" d'un humanoïde tenant son bras et insérant l'objet semblable à un stylo dans son oreille p. 43. David souffre en effet d'un inconfort et d'une défaillance auditive (p. 44) Régression hypnotique en novembre 1984 < Hopkins, B. (1987). Intruders. New York. Random House.",""
