description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
Départ de Vicking 2 vers Mars.,"",sighting,1975-09-09$,,"",1975-09-09,event,https://rr0.org/time/1/9/7/5/09/index.html#1975-09-09
"Aux , 3 jeunes gens voient un ovni phosphorescent en forme de cigare.","",sighting,1975-09-19T22:30$MureauxYvelines,,,"",,"",Mureaux (Yvelines),"",place,"""G. D."","""",s1,"""",,""3 muriautins affirment avoir aperçu un ovni""",1975-09-19T22:30,event,https://rr0.org/time/1/9/7/5/09/index.html#1975-09-19T22:30
"Dans la région de , observation aéronautique de Jack Krine.","",sighting,1975-09-23T23:00$Cambrai,,,"",,"",Cambrai,"",place,"",1975-09-23T23:00,event,https://rr0.org/time/1/9/7/5/09/index.html#1975-09-23T23:00
", une femme va chercher du bois lorsqu'elle aperçoit une lueur venant de la direction d'un bois. L'objet se pose et provoque l'affolement d'un troupeau de vaches qui se mettent à meugler. C'est une sphère lumineuse de couleur orange. L'objet redécolle et se déplace par bonds, passe au-dessus de la N739, puis se pose près des silos à grain. Là, il s'éteint et se rallume 3 fois, prend une teinte rouge et disparaît instantanément.","",sighting,1975-09-30T20:00$SaintCoutantleGrandCharenteMaritime,,,"",,"",Saint-Coutant-le-Grand (Charente Maritime),"",place,"""""""Figuet, Michel"""",""""Ruchon, Jean-Louis"""""","""",s2,"""",,OVNI: Le premier dossier complet des rencontres rapprochées en France",1975-09-30T20:00,event,https://rr0.org/time/1/9/7/5/09/index.html#1975-09-30T20:00
