description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type
"le la nuit, une lumière bigarrée brillante est observée au-dessus de la ville, avec une traînée de fumée et le son du tonnerre. Sa traînée lumineuse persiste durant 10 mn.","",1946-06-09,Helsinkin (Finlande),,,,"",,"","",1946-06-09,sighting,https://rr0.org/time/1/9/4/6/06/index.html#1946-06-09
"le la nuit Même phénomène que la veille, mais les journaux indiquent que l'objet a fait demi-tour pour revenir dans la direction d'où il venait.","",1946-06-10,,"",1946-06-10,sighting,https://rr0.org/time/1/9/4/6/06/index.html#1946-06-10
"le Début de soirée Au-dessus d', observation d'un phénomène céleste à l'apparence d'une bombe sur une course descendante, mais sans échappement. L'état-major suédois demande à l'armée de signaler leurs observations via les canaux officiels, admettant être au courant du phénomène depuis mai.","",1946-06-12,Eskilstuna (Suède),,,,"",,"",""""","""",s1,"""",""Morgon-Tidningen de Stockholm (Suède), 13 juin 1946"",05,""Sky Phenomenon in Eskilstuna""",1946-06-12,sighting,https://rr0.org/time/1/9/4/6/06/index.html#1946-06-12
"le Dans le sud de la , observation d'un météore rouge flamboyant.","",1946-06-20T22:20$org_fi,Finlande,org/fi,"",fi,country,,"",org,,""""","""",s2,"""",""Morgon-Tidningen de Stockholm (Suède), 22 juin 1946"",06,""Flaming Red Meteor In Southern Finland""",1946-06-20T22:20,sighting,https://rr0.org/time/1/9/4/6/06/index.html#1946-06-20T22:20
"le en 20, observation d'un long objet gris illuminé à l'avant qui disparaît dans un nuage de fumée.","",1946-06-30,Gavle (Suède),,,,"",,"",""""","""",s3,"""",""Morgon-Tidningen de Stockholm (Suède), mardi 2 juillet 1946"",03,""Mysterious Plane Over Gavle""",1946-06-30,sighting,https://rr0.org/time/1/9/4/6/06/index.html#1946-06-30
