description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
,"",sighting,1957-01$,,"",1957-01,event,https://rr0.org/time/1/9/5/7/index.html#1957-01
,"",sighting,1957-02$,,"",1957-02,event,https://rr0.org/time/1/9/5/7/index.html#1957-02
,"",sighting,1957-03$,,"",1957-03,event,https://rr0.org/time/1/9/5/7/index.html#1957-03
,"",sighting,1957-04$,,"",1957-04,event,https://rr0.org/time/1/9/5/7/index.html#1957-04
,"",sighting,1957-05$,,"",1957-05,event,https://rr0.org/time/1/9/5/7/index.html#1957-05
,"",sighting,1957-06$,,"",1957-06,event,https://rr0.org/time/1/9/5/7/index.html#1957-06
,"",sighting,1957-07$,,"",1957-07,event,https://rr0.org/time/1/9/5/7/index.html#1957-07
,"",sighting,1957-08$,,"",1957-08,event,https://rr0.org/time/1/9/5/7/index.html#1957-08
,"",sighting,1957-09$,,"",1957-09,event,https://rr0.org/time/1/9/5/7/index.html#1957-09
,"",sighting,1957-10$,,"",1957-10,event,https://rr0.org/time/1/9/5/7/index.html#1957-10
,"",sighting,1957-11$,,"",1957-11,event,https://rr0.org/time/1/9/5/7/index.html#1957-11
,"",sighting,1957-12$,,"",1957-12,event,https://rr0.org/time/1/9/5/7/index.html#1957-12
"Selon Leroy Gordon Cooper, une équipe de professionnels de l'audiovisuel filme l'atterrissage d'une soucoupe volante à la.","",sighting,1957$baseDeEdwardsCalifornie,,,"",,"",base de Edwards (Californie),"",place,"",1957,event,https://rr0.org/time/1/9/5/7/index.html
"A , la police constate que le pont de fer situé à l'entrée de la ville, long de 20 m, pesant plusieurs t, a disparu sans laisser de traces.","",sighting,1957$HamiltonCanada,,,"",,"",Hamilton (Canada),"",place,"",1957,event,https://rr0.org/time/1/9/5/7/index.html
"Au Sud de , 2 Stratojets entrent en collision avec un objet inconnu.","",sighting,1957$Cuba,,,"",,"",Cuba,"",place,"",1957,event,https://rr0.org/time/1/9/5/7/index.html
"Le mois suivant, un DC-6 manque de connaître le même sort.","",sighting,1957$,,"",1957,event,https://rr0.org/time/1/9/5/7/index.html
"L'étude de l'USAF sur les ovnis fête ses 10 années d'existence, avec grands renforts de publicité. L'ATIC déclare avoir reçu 701 rapports d'observation d'ovni dans les 3 mois suivant le lancement de Sputnik le 10-04. Il a aussi travaillé avec le Armstrong Circle Theater pour produire le show télévisé Enigma of the Skies , dont le capitaine George T. Gregory, alors directeur du projet Blue Book, produit le script de base pour le programme de 1 h.","",sighting,1957$,,"",1957,event,https://rr0.org/time/1/9/5/7/index.html
