description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
,"",sighting,1967-01$,,"",1967-01,event,https://rr0.org/time/1/9/6/7/index.html#1967-01
,"",sighting,1967-02$,,"",1967-02,event,https://rr0.org/time/1/9/6/7/index.html#1967-02
,"",sighting,1967-03$,,"",1967-03,event,https://rr0.org/time/1/9/6/7/index.html#1967-03
,"",sighting,1967-04$,,"",1967-04,event,https://rr0.org/time/1/9/6/7/index.html#1967-04
,"",sighting,1967-05$,,"",1967-05,event,https://rr0.org/time/1/9/6/7/index.html#1967-05
,"",sighting,1967-06$,,"",1967-06,event,https://rr0.org/time/1/9/6/7/index.html#1967-06
,"",sighting,1967-07$,,"",1967-07,event,https://rr0.org/time/1/9/6/7/index.html#1967-07
,"",sighting,1967-08$,,"",1967-08,event,https://rr0.org/time/1/9/6/7/index.html#1967-08
,"",sighting,1967-09$,,"",1967-09,event,https://rr0.org/time/1/9/6/7/index.html#1967-09
,"",sighting,1967-10$,,"",1967-10,event,https://rr0.org/time/1/9/6/7/index.html#1967-10
,"",sighting,1967-11$,,"",1967-11,event,https://rr0.org/time/1/9/6/7/index.html#1967-11
,"",sighting,1967-12$,,"",1967-12,event,https://rr0.org/time/1/9/6/7/index.html#1967-12
"Lawrence G. Roberts, récemment arrivé à la tête du projet de réseau informatique à l'ARPA, publie ses Plans pour le réseau ARPANET au cours d'une conférence.","",sighting,1967$,,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
Développement de la mémoire à bulle par A. H. Bobeck aux Bell Labs,"",sighting,1967$,,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
Sortie de l'ordinateur PDP-10 chez DEC,"",sighting,1967$,,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
Sortie du B3200 chez Burroughs.,"",sighting,1967$,,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
SNOBOLs est largement développé et publication de SNOBOL4.,"",sighting,1967$,,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
"Création de Simula à , basé sur ALGOL60, étendu avec des classes. Développé à l'origine pour des simulations.","",sighting,1967$OsloNorvege,,,"",,"",Oslo (Norvège),"",place,"",1967,event,https://rr0.org/time/1/9/6/7/index.html
