caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
3481,https://nuforc.org/sighting/?id=3481,Perth (Western Australia),,Australia,1978-02-01 21:00,Sphere,Bright orange glow. Stationary.,1998-04-22T22:00:00.000Z,1999-01-27T23:00:00.000Z,false
4833,https://nuforc.org/sighting/?id=4833,Braintree and RAF Weatherfield (between) (UK/England),,United Kingdom,1978-02-23 01:48,Light,"I was active duty (USAF) at the time, I was driving home (car-pooling) with a fellow worker, his name is Mike Bugno. We were in his VW ",1998-11-11T23:00:00.000Z,1998-11-18T23:00:00.000Z,false
15336,https://nuforc.org/sighting/?id=15336,Dublin,NH,USA,1978-02-01 22:00,Triangle,I was with five friends at prep school in Dublin NH (Dublin School a private school) we were on the "Upper FIeld" which was a soccer fi,2000-12-06T23:00:00.000Z,2000-12-08T23:00:00.000Z,false
31767,https://nuforc.org/sighting/?id=31767,Lima (Peru),,Peru,1978-02-15 20:00,Circle,"A brilliant, white,silent  circular light moving above us from southwest to the northeast.",2003-09-22T22:00:00.000Z,2003-09-23T22:00:00.000Z,false
42007,https://nuforc.org/sighting/?id=42007,Eastport,ME,USA,1978-02-15 02:00,Cigar,"glowing orange cigar shape light, that streached like an elastic.",2005-02-17T23:00:00.000Z,2005-02-21T23:00:00.000Z,false
50890,https://nuforc.org/sighting/?id=50890,Geneseo,NY,USA,1978-02-20 19:00,Unknown,Observed a strange circular spotlight on ground in rural area,2006-06-09T22:00:00.000Z,2006-07-15T22:00:00.000Z,false
53605,https://nuforc.org/sighting/?id=53605,St.Thomas (U. S. Virgin Islands),VI,USA,1978-02-15 10:00,Disk,Visible in the mid-day,2006-11-24T23:00:00.000Z,2006-12-06T23:00:00.000Z,false
55967,https://nuforc.org/sighting/?id=55967,Detroit (metro area),MI,USA,1978-02-01 00:00,,Detroit UFO Flap of February 1978,2007-03-26T22:00:00.000Z,2007-04-26T22:00:00.000Z,false
58482,https://nuforc.org/sighting/?id=58482,Escawtawpa,MS,USA,1978-02-11 03:00,Disk,This is a example of the way they get fuel for their craft.(UFO's),2007-08-30T22:00:00.000Z,2007-10-07T22:00:00.000Z,false
63205,https://nuforc.org/sighting/?id=63205,Wembly (UK/England),,United Kingdom,1978-02-07 19:30,Sphere,ball lightining,2008-05-15T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
63287,https://nuforc.org/sighting/?id=63287,Brighton,MI,USA,1978-02-09 19:45,Triangle,Southeast Michigan UFO flap February 1978,2008-05-18T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
89862,https://nuforc.org/sighting/?id=89862,Waltham,MA,USA,1978-02-15 03:00,Unknown,Stars or satellites change places in the sky.,2012-06-20T22:00:00.000Z,2012-07-03T22:00:00.000Z,false
92686,https://nuforc.org/sighting/?id=92686,Soccoro (outside of),NM,USA,1978-02-21 03:00,Unknown,INTENSE BLUE BEAM OF LIGHT. PARALYZING AFFECT. OBJECT WAS NOT VISIBLE DURING EVENT .,2012-09-10T22:00:00.000Z,2012-09-23T22:00:00.000Z,false
166907,https://nuforc.org/sighting/?id=166907,Santa Cruz,CA,USA,1978-02-16 21:30,,Light in the sky,2022-02-25T23:00:00.000Z,2022-03-03T23:00:00.000Z,false
170084,https://nuforc.org/sighting/?id=170084,Richmond,VA,USA,1978-02-25 15:00,Disk,"100' dia metalic craft hovered 50 feet overhead for 30 min, rotating colored lights on bottom",2022-06-25T22:00:00.000Z,2022-09-08T22:00:00.000Z,false
