caseNumber,url,sightingPlace,city,dateTime,dateTimeRefinement,classification
565,https://www.fufora.fi/ufodata.php?u=565&p=1&sid=,Riistavesi-Kuopio välillä,,1978-02-01,noin klo 00-02 yöllä,-
841,https://www.fufora.fi/ufodata.php?u=841&p=1&sid=,Mäntymäenkenttä,Helsinki,1978-02-01,"Tammikuu- helmikuu 1978, n.klo. 19-20",4LIV7H1
