url,place,time,description,sources,id,place.name,place.org.name,place.org.surname,place.org.title,place.org.time,place.org.deprecated,place.org.note,place.org.place,place.org.description,place.org.sources,place.org.tags,place.org.image,place.org.id,place.org.dirName,place.org.url,place.org.events,place.org.type,place.org.parent,place.org.places,place.org.kind,place.place,place.org,place.place.name,place.place.surname,place.place.title,place.place.time,place.place.deprecated,place.place.note,place.place.place,place.place.description,place.place.sources,place.place.tags,place.place.image,place.place.id,place.place.dirName,place.place.url,place.place.events,place.place.type,place.place.parent,place.place.locations,place.place.elevation,place.org.parent.name,place.org.parent.surname,place.org.parent.title,place.org.parent.time,place.org.parent.deprecated,place.org.parent.note,place.org.parent.place,place.org.parent.description,place.org.parent.sources,place.org.parent.tags,place.org.parent.image,place.org.parent.id,place.org.parent.dirName,place.org.parent.url,place.org.parent.events,place.org.parent.type,place.org.parent.parent.name,place.org.parent.parent.surname,place.org.parent.parent.title,place.org.parent.parent.time,place.org.parent.parent.deprecated,place.org.parent.parent.note,place.org.parent.parent.place,place.org.parent.parent.description,place.org.parent.parent.sources,place.org.parent.parent.tags,place.org.parent.parent.image,place.org.parent.parent.id,place.org.parent.parent.dirName,place.org.parent.parent.url,place.org.parent.parent.events,place.org.parent.parent.type,place.org.parent.parent.parent.name,place.org.parent.parent.parent.surname,place.org.parent.parent.parent.title,place.org.parent.parent.parent.time,place.org.parent.parent.parent.deprecated,place.org.parent.parent.parent.note,place.org.parent.parent.parent.place,place.org.parent.parent.parent.description,place.org.parent.parent.parent.sources,place.org.parent.parent.parent.tags,place.org.parent.parent.parent.image,place.org.parent.parent.parent.id,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.url,place.org.parent.parent.parent.events,place.org.parent.parent.parent.type,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/3/0/index.html#1930-03,,1930-03,"en Couverture du n° 10, vol. 1 de Air Wonder Stories Apparition d'un avion mystère","Gernsback publications < Collection Les Treece-Sainclair < UFOPOP,s1,"""",,,""Mystery Plane at Henderson Harbor"",s2,"""",""Plattsburg Sentinel de Plattsburg (New York), 4 mars 1930, p. 1."",",1930-03
https://rr0.org/time/1/9/3/0/index.html,Angikumi (Canada),,,,,,,,,,,,,,,,"",place,,"",,1930,"Les 30 habitants du petit village esquimau d' disparaissent. Dans cette région, les conditions de vie sont particulièrement éprouvantes, et l'on retrouve seulement une demi-douzaine de chiens encore attachés, morts de faim. Les tombes ont même été ouvertes et les cadavres qu'elles contenaient ont également disparu.","",1930
https://rr0.org/time/1/9/3/0/index.html,,1930,"Un appareil qui transporte des hommes d'affaires pénètre dans un nuage sombre - le seul parcourant le ciel. Des fermiers le voient brusquement en retomber, une aile en partie arrachée. Les réservoirs d'essence s'en détachent et tombent. Il n'y a eu aucun éclair ni coup de tonnerre, et le drame s'est produit dans le silence. Comme la foudre ne peut arracher l'aile d'un avion, que s'est-il passé ? L'avion a-t-il rencontré un corps solide à l'intérieur du nuage sombre, qu'il aurait percuté ?","",1930
https://rr0.org/time/1/9/3/0/index.html,,1930,Le docteur Henry Coanda commence ses travaux sur les formes aérodynamiques lenticulaires.,"",1930
https://rr0.org/time/1/9/3/0/index.html#1930-11,Idu (Japon),,,,,,,,,,,,,,,,"",place,,"",,1930-11,"en Couverture du n° 1, vol. 3 d'hiver du trimestriel Amazing Stories A l'occasion du tremblement de terre de , on aperçoit des lueurs 1 heure durant après qu'il se soit déclaré. Elles sont tantôt irradiées comme les rayons du Soleil levant, tantôt comme les feux d'un projecteur, tant comme des boules de feu, rapportera Frank Lane. On voit aussi des boules de lumière très brillantes, disposées ""en ligne"", bleuâtres, jaunes ou violacées. Elles brillent d'un éclat tellement vif qu'à 50 km environ de l'épicentre, elles paraissent plus brillantes que la Lune ainsi qu'à Tokyo où de nombreux témoins déclarent qu'ils ont pu discerner des ""objets"" sous leur éclairage. On distingue ces lueurs depuis une distance de 110 km.","Collection Les Treece-Sainclair < UFOPOP,s3,"""",,",1930-11
https://rr0.org/time/1/9/3/0/index.html#1930T21:00,Toulx-Sainte Croix,,,,,,,,,,,,,,,,"",place,,"",,1930T21:00,"en Jules B. (42 ans, auteur d'une observation en en janvier 1906), rentre chez lui par la route qui contourne une colline par le nord. Soudain il voit sortir du fossé un petit être qui traverse la route et escalade le bord droit du fossé à la vitesse d'une personne qui marche normalement. Mais ses jambes sont collées l'une contre l'autre et immobiles. Il glisse sur le sol et se volatilise instantanément sur place une fois arrivé de l'autre côté","""Pleins feux sur la Creuse"",s4,"""",,,Catalogue Creuse,s5,"""",""Info OVNI, p. 4"",",1930T21:00
https://rr0.org/time/1/9/3/0/index.html,Setermoen (Norvège),,,,,,,,,,,,,,,,"",place,,"",,1930,"En 1930 ou plus tard, un soir sombre Couverture du d'hiver de Science Wonder À Ranveig Alstad observe 2 objets lumineux faire des cercles au-dessus de Setermoen et Lifjell.","Collection Les Treece-Sainclair < UFOPOP,s6,"""",,,Fremover,s7,"""",,1966-12-10,UFO-NYT,s8,"""",1/1967,-10",1930
https://rr0.org/time/1/9/3/0/index.html,,1930,Dans les années 1930s Observation en Norvège.,"Øvre SmÅlenene,s9,"""",""1966-11-10, ou plus tard"",",1930
