description,events,eventType,id,place,sources,time,type,url
09,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
61,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
82,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
88,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
89,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
94,"",sighting,1300$,,"",1300,event,https://rr0.org/time/1/3/index.html
