description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"en le lundi 28 juin À le disque solaire s'obscurcit et on voit dans le ciel environ 20 ""véhicules"" volants aller le long des maisons, avec des flammes rouges survolantes.","",sighting,1548-06$OettingenBaviere,,,"",,"",Oettingen (Bavière),place,"""""""Weber, Bruno"""""","""",s1,"""",,""Wunderzeichen und Winkeldrucker 1543-1586"","""","""",s2,"""",,À la recherche des OVNI",1548-06,event,https://rr0.org/time/1/5/4/8/index.html#1548-06
"en le samedi 6 novembre À , chute d'un globe de feu avec beaucoup de bruit : on trouve ensuite sur le sol une substance rougeâtre, semblable à du sang coagulé.","",sighting,1548-11$MansfeldThuringe,,,"",,"",Mansfeld (Thuringe),place,"""""""Spangenberg < Roche, Edouard"""""","""",s3,"""",,Recherches sur les offuscations du soleil et les météores cosmiques",1548-11,event,https://rr0.org/time/1/5/4/8/index.html#1548-11
