description,events,eventType,id,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url,place
"dimanche 25 juin Au Japon, observation de ce qui semble être une aurore boréale.","",sighting,1662-06$,,"""""""Schove, 1951 < Silverman, Sam"""""","""",s1,"""",,""Auroral Annotations""",1662-06,event,https://rr0.org/time/1/6/6/2/index.html#1662-06
"mercredi 20 décembre 1662 (Calendrier de la date à vérifier) Dans le Mid-Wales, observation de ce qui semble être une aurore boréale.","",sighting,1662-12$,,"""""""Schove, 1953 < Silverman, Sam"""""","""",s2,"""",,""Auroral Annotations""",1662-12,event,https://rr0.org/time/1/6/6/2/index.html#1662-12
