description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
"A , une enfant dit avoir été visitée par une lumière.","",sighting,1895-03$MontgomerryAlabama,,,"",,"",Montgomerry (Alabama),"",place,""""","""",s1,"""",,""Heaven in Alabama""",1895-03,event,https://rr0.org/time/1/8/9/5/index.html#1895-03
"Une nuit à , des pécheurs voient un objet lumineux tomber dans le lac Hesjøen, à 1 km de distance.","",sighting,1895-06$AlenNorvege,,,"",,"",Ålen (Norvège),"",place,""""","""",s2,"""",,Fjeld-Ljom,"""","""",s3,"""",,Aftenposten,"""","""",s4,"""",,UFO",1895-06,event,https://rr0.org/time/1/8/9/5/index.html#1895-06
