description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.org._parent,place.org.events,place.org.id,place.org.kind,place.org.places,place.org.type,place.org._parent._parent._parent._parent,place.org._parent._parent._parent.events,place.org._parent._parent._parent.id,place.org._parent._parent._parent.kind,place.org._parent._parent._parent.places,place.org._parent._parent._parent.type,place.org._parent._parent.events,place.org._parent._parent.id,place.org._parent._parent.kind,place.org._parent._parent.places,place.org._parent._parent.type,place.org._parent.events,place.org._parent.id,place.org._parent.kind,place.org._parent.places,place.org._parent.type,place.org._parent._parent,place.org._parent._parent._parent
"vers le , des personnes observent 1 masse lumineuse stationnaire au-dessus d'une usine. Ils décrivent cette masse comme une sorte de triangle avec des lumières rouges et dont l'intensité varie, qui se déplace ensuite lentement et sans bruit avant de s'éloigner vers la mer.","",sighting,1982~-09~-04~T02~:00$city$97410,,,"",,"-21.03388888888889,55.71277777777778",,"",fr,country,"",org,"",lre,region,",,"""",,""-21.114444444444445,55.5325""",org,"",974,department,",,"""",,""-21.114444444444445,55.5325""",org,"",97410,city,",,"""",,""-21.03388888888889,55.71277777777778""",org,"""GEPAN"","""",s1,"""",,,PAN classé C",1982~-09~-04~T02~:00,event,https://rr0.org/time/1/9/8/2/09/index.html#1982~-09~-04~T02~:00
"vers le , un couple sur son balcon voit un phénomène orangé d'un volume apparemment important qu'ils comparent à une soucoupe ou un dirigeable. L'observation dure 2 mn durant lesquelles le phénomène disparaît progressivement.","",sighting,"1982~-09~-06~T22~:30$Palaiseau, Essonne",,,"",,"","Palaiseau, Essonne","""GEPAN"","""",s2,"""",,,PAN classé D",1982~-09~-06~T22~:30,event,https://rr0.org/time/1/9/8/2/09/index.html#1982~-09~-06~T22~:30
"le À 1 mile de chez lui à témoin (imprimeur, 32 ans) voit une lumière aussi brillante que le Soleil et d'environ la moitié de la taille de la Lune en vol apparemment stationnaire.","",sighting,1982-09-14$Cwmbran (Wales),,,"",,"",Cwmbran (Wales),"""Darren Devine"","""",s3,"""",Wales Online,2013-03-28,""Released files cast light on famous Welsh ‘UFO’ sighting""",1982-09-14,event,https://rr0.org/time/1/9/8/2/09/index.html#1982-09-14
"le dans et autour du , 4 observations de lumières/objets dans ciel.","",sighting,1982-09-30$South Wales,,,"",,"",South Wales,"""Darren Devine"","""",s4,"""",Wales Online,2013-03-28,""Released files cast light on famous Welsh ‘UFO’ sighting""",1982-09-30,event,https://rr0.org/time/1/9/8/2/09/index.html#1982-09-30
