caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
2331,https://nuforc.org/sighting/?id=2331,Thousand Oaks,CA,USA,1978-01-09 04:30,,I awoke at 4:30 a.m. and was lying awake in bed looking out the window.  I saw a large round yellow glowing object close to the ground ,1997-07-02T22:00:00.000Z,1999-01-27T23:00:00.000Z,false
3106,https://nuforc.org/sighting/?id=3106,"Westport (about 10 miles North of, US Hwy.1)",CA,USA,1978-01-06 01:00,Other,Three humongus craft with about 30 saucers about them loading and unloading something.,1998-02-09T23:00:00.000Z,1999-01-27T23:00:00.000Z,false
7099,https://nuforc.org/sighting/?id=7099,"Victoria, Mahe (Seychelles)",,Seychelles,1978-01-02 20:00,Changing,The UFO flew down the valley below the block of flats from which I and my friends witnessed it. At first it appeared as a triangular fo,1999-04-23T22:00:00.000Z,1999-05-23T22:00:00.000Z,false
7748,https://nuforc.org/sighting/?id=7748,Chatsworth,CA,USA,1978-01-09 03:30,Circle,One night I looked up and saw one "star" slowly move into another. 3 days later I saw a 15 foot wide orange circle.,1999-05-12T22:00:00.000Z,1999-05-23T22:00:00.000Z,false
14127,https://nuforc.org/sighting/?id=14127,Warwick,RI,USA,1978-01-05 00:00,Orb,"Warwick, Rhode Island Jan/Feb 1978 Red Orb",2000-09-13T22:00:00.000Z,2000-09-16T22:00:00.000Z,false
24147,https://nuforc.org/sighting/?id=24147,"Shantineketan, (West Bengal) (India)",,India,1978-01-06 19:00,Light,A brilliant light moved super fast in the sky and zig zagged away at unearthly speed.,2002-08-02T22:00:00.000Z,2002-08-15T22:00:00.000Z,false
30663,https://nuforc.org/sighting/?id=30663,Cardiff (UK/Wales),,United Kingdom,1978-01-08 22:00,Triangle,"light in the sky splits into 3, one of which is observed to be a huge triangle",2003-08-12T22:00:00.000Z,2003-08-27T22:00:00.000Z,false
34257,https://nuforc.org/sighting/?id=34257,Whittier,CA,USA,1978-01-01 02:30,Triangle,"Colaboration of 1978 sighting in Whittier, California (Southeast Los Angeles County).",2004-01-01T23:00:00.000Z,2004-01-16T23:00:00.000Z,false
39625,https://nuforc.org/sighting/?id=39625,Walberswick Suffolk (UK/England),,United Kingdom,1978-01-10 20:00,Disk,Saw flying saucer with coloured lights in 1978 and then a different craft in 1979.,2004-10-04T22:00:00.000Z,2004-10-26T22:00:00.000Z,false
42354,https://nuforc.org/sighting/?id=42354,Midland,TX,USA,1978-01-20 02:00,Cigar,Large cigar shaped hovering craft with flashing lights.,2005-02-24T23:00:00.000Z,2005-04-15T22:00:00.000Z,false
43268,https://nuforc.org/sighting/?id=43268,"Gateshead,Tyne & Wear (UK/England)",,United Kingdom,1978-01-10 16:00,Other,Huge aeroplane/no sound travelling overhead,2005-03-30T22:00:00.000Z,2005-04-15T22:00:00.000Z,false
47368,https://nuforc.org/sighting/?id=47368,Grand Rapids,MI,USA,1978-01-12 20:00,Disk,Saw a craft decend over some power lines and hover.  Saucer shaped with bright lights around the middle,2005-11-01T23:00:00.000Z,2005-11-02T23:00:00.000Z,false
48864,https://nuforc.org/sighting/?id=48864,June Lake,CA,USA,1978-01-01 01:00,Disk,seen flying saucers at june lake ca,2006-01-25T23:00:00.000Z,2006-02-13T23:00:00.000Z,false
53132,https://nuforc.org/sighting/?id=53132,Bristol,TN,USA,1978-01-07 02:00,,Bright White Light,2006-10-27T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
56040,https://nuforc.org/sighting/?id=56040,Massachusetts/New Hampshire,NH,USA,1978-01-27 00:00,,Huge fireball tracking beside car on passenger side and no other clear memories with trip t aking too long - extreme fear.

 500 Ligh,2007-03-31T22:00:00.000Z,2007-04-26T22:00:00.000Z,false
59127,https://nuforc.org/sighting/?id=59127,Sagle,ID,USA,1978-01-01 13:00,Sphere,"Hovering gray, grapefruit size, shaped sphere that travels at lightning speed.",2007-10-05T22:00:00.000Z,2007-10-07T22:00:00.000Z,false
63727,https://nuforc.org/sighting/?id=63727,London (UK/Englnd),,United Kingdom,1978-01-01 00:00,Disk,"Twin-disc 'pivoting' UFO observed to rapidly cross the skies of Slough, U.K., in 1977/ 1978.",2008-06-05T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
63835,https://nuforc.org/sighting/?id=63835,Meriden,CT,USA,1978-01-22 22:00,Diamond,amazing diamond shape craft at low altitude  seeminly moving  too slow to stay aloft,2008-06-10T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
66530,https://nuforc.org/sighting/?id=66530,Carlyss,LA,USA,1978-01-01 01:00,,Strange light through my window.

 500 Lights On Object0: Yes,2008-10-28T23:00:00.000Z,2008-10-30T23:00:00.000Z,false
66724,https://nuforc.org/sighting/?id=66724,Grand Rapids,MI,USA,1978-01-12 20:00,Disk,I submitted this report back in 2005.  I have been reviewing my report from that time. There are a couple of things that are incorrect.,2008-11-04T23:00:00.000Z,2009-01-09T23:00:00.000Z,false
106854,https://nuforc.org/sighting/?id=106854,Gloucester (Canada),ON,Canada,1978-01-06 17:00,,"Large football shaped object with no wings, no windows and lights were the wings should be, very close I could clearly see it.",2014-01-31T23:00:00.000Z,2014-02-06T23:00:00.000Z,false
