depCode,caseNumber,url,city,dateTime,postTime,classification
33,1978-01-00480,https://geipan.fr/fr/cas/1978-01-00480?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,SAINT-CIERS-D’ABZAC,1978-01-27,2016-09-05,A
8,1978-01-00479,https://geipan.fr/fr/cas/1978-01-00479?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,NOUZONVILLE,NaN-NaN-1978,2008-10-02,B
93,1978-01-00478,https://geipan.fr/fr/cas/1978-01-00478?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,DRANCY,NaN-NaN-1978,2008-10-02,C
84,1978-01-08159,https://geipan.fr/fr/cas/1978-01-08159?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,GORDES,1978-01-15,2018-07-16,C
35,1978-01-00477,https://geipan.fr/fr/cas/1978-01-00477?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,DOL DE BRETAGNE,NaN-NaN-1978,2008-11-20,C
35,1978-01-00476,https://geipan.fr/fr/cas/1978-01-00476?field_agregation_index_value=&field_date_d_observation_value%5Bmax%5D=1978%2F01%2F31&field_date_d_observation_value%5Bmin%5D=1978%2F01%2F01&field_departement_target_id=&field_document_existe_ou_pas_value=All&field_latitude_value%5Bmax%5D=&field_latitude_value%5Bmin%5D=&field_longitude_value%5Bmax%5D=&field_longitude_value%5Bmin%5D=&field_phenomene_target_id=&field_type_de_cas_target_id=All&select-category-export=nothing,GUIPEL,1978-01-13,2015-08-10,A
