description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
"Un témoin au milieu du crop circle apparu à Saint-François-Xavier Au Canada, apparition (ci-contre) d'un crop circle à.","",sighting,1990$SaintFrancoisXavierManitoba,,,"",,"",Saint-François-Xavier (Manitoba),"",place,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
"Siemens reprend Nixdorf à 51 %, pour former SNI. L'ensemble pèse 40 milliards FF.","",sighting,1990-01$,,"",1990-01,event,https://rr0.org/time/1/9/9/0/index.html#1990-01
"IBM sort ses premiers serveurs et stations de travail RISC, les RS/6000. Avec quelques centaines d'applications supportées.","",sighting,1990-02$,,"",1990-02,event,https://rr0.org/time/1/9/9/0/index.html#1990-02
,"",sighting,1990-03$,,"",1990-03,event,https://rr0.org/time/1/9/9/0/index.html#1990-03
,"",sighting,1990-04$,,"",1990-04,event,https://rr0.org/time/1/9/9/0/index.html#1990-04
,"",sighting,1990-05$,,"",1990-05,event,https://rr0.org/time/1/9/9/0/index.html#1990-05
,"",sighting,1990-06$,,"",1990-06,event,https://rr0.org/time/1/9/9/0/index.html#1990-06
"Fujitsu débourse 7,4 milliards FF pour acheter à STC 80 % de ses parts d'ICL. Le japonais devient ainsi n°2 mondial de l'informatique.","",sighting,1990-07$,,"",1990-07,event,https://rr0.org/time/1/9/9/0/index.html#1990-07
,"",sighting,1990-08$,,"",1990-08,event,https://rr0.org/time/1/9/9/0/index.html#1990-08
"IBM repart vers les sommets avec l'annonce des grands systèmes ES/9000. Informatique à l'école : 5 ans après le ""Plan informatique pour tous"", le ministère de l'Éducation veut équiper les écoles de 150000 micros.","",sighting,1990-09$,,"",1990-09,event,https://rr0.org/time/1/9/9/0/index.html#1990-09
,"",sighting,1990-10$,,"",1990-10,event,https://rr0.org/time/1/9/9/0/index.html#1990-10
,"",sighting,1990-11$,,"",1990-11,event,https://rr0.org/time/1/9/9/0/index.html#1990-11
,"",sighting,1990-12$,,"",1990-12,event,https://rr0.org/time/1/9/9/0/index.html#1990-12
Micro familial PS/1 d'IBM.,"",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
Le CA de Microsoft dépasse le milliard $.,"",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
"Premier clone 386, chez AMD.","",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
Robert T. Morris Jr est condamné pour avoir créé en 1988 un programme de virus qui a infecté le réseau Internet.,"",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
Naissance des réseaux à large bande ATM et SDH.,"",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
Les EDI se développent en France.,"",sighting,1990$,,"",1990,event,https://rr0.org/time/1/9/9/0/index.html
