caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
3484,https://nuforc.org/sighting/?id=3484,Los Gatos,CA,USA,1978-03-01 17:00,Oval,Large elipsoid object (greenish hugh) hovering and slowly moving forward just above the treeline (approx. 150 feet) in Los Gatos foothi,1998-04-22T22:00:00.000Z,1999-01-27T23:00:00.000Z,false
5584,https://nuforc.org/sighting/?id=5584,Denver,CO,USA,1978-03-17 19:00,Triangle,"Denver, Colorado, March 17, 1977, at around 7:30 pm. Two objects seen up close. One hovered over our home, the other flew over at just ",1999-02-14T23:00:00.000Z,1999-04-01T22:00:00.000Z,false
18235,https://nuforc.org/sighting/?id=18235,Bellevue,WA,USA,1978-03-10 21:00,Disk,My age was 8 at the time and I was in bed just starting to fall asleep. Mother was in the den calling me to come "see something". I did,2001-06-28T22:00:00.000Z,2001-08-04T22:00:00.000Z,false
19484,https://nuforc.org/sighting/?id=19484,Stoughton,MA,USA,1978-03-01 22:00,Other,It was the day after the Blizzard of 78 in Massachusets,2001-09-07T22:00:00.000Z,2001-10-11T22:00:00.000Z,false
21149,https://nuforc.org/sighting/?id=21149,Saint Clair Shores,MI,USA,1978-03-01 19:30,Oval,"Oval object, center portion having windows, internally lit with tall figures glaring out, seen in MI, spring eveng1978.",2002-01-08T23:00:00.000Z,2002-01-10T23:00:00.000Z,false
26666,https://nuforc.org/sighting/?id=26666,Rose Hill,NC,USA,1978-03-05 21:00,Rectangle,"no noise, no lights,  aircraft was hovering above my parents house without making any noise",2002-12-17T23:00:00.000Z,2002-12-22T23:00:00.000Z,false
32193,https://nuforc.org/sighting/?id=32193,Simi Valley,CA,USA,1978-03-07 22:00,Oval,"Miraculous angelic orb of incredible speed seen by two witnesses in Simi Valley, March, 1978.",2003-10-12T22:00:00.000Z,2003-10-14T22:00:00.000Z,false
32411,https://nuforc.org/sighting/?id=32411,Lolo,MT,USA,1978-03-15 01:00,Light,The animals were in terror.,2003-10-17T22:00:00.000Z,2003-10-30T23:00:00.000Z,false
54388,https://nuforc.org/sighting/?id=54388,Ozamis (Philippines),,Philippines,1978-03-13 15:00,Circle,In the clear sky I saw a small circular disk move from one side of the sky to center and stayed steady for a few seconds.  Then another,2007-01-02T23:00:00.000Z,2007-01-31T23:00:00.000Z,false
55876,https://nuforc.org/sighting/?id=55876,Yreka,CA,USA,1978-03-04 22:00,Triangle,Low flying large darkened triangle with no sound seen by nine policemen,2007-03-22T23:00:00.000Z,2007-04-26T22:00:00.000Z,false
68641,https://nuforc.org/sighting/?id=68641,Medford,OR,USA,1978-03-21 04:00,Disk,Inflight formation with two disk,2009-02-13T23:00:00.000Z,2009-03-18T23:00:00.000Z,false
75362,https://nuforc.org/sighting/?id=75362,Winterhaven,CA,USA,1978-03-25 22:00,Disk,Nine menacing crafts rounded up a large group of campers on the Colorado River during one incredibly long night.

 500 Lights On Obj,2010-05-08T22:00:00.000Z,2010-05-11T22:00:00.000Z,false
103498,https://nuforc.org/sighting/?id=103498,Mississippi (rural),MS,USA,1978-03-15 13:00,Disk,Not your typical saucer expectation.,2013-10-22T22:00:00.000Z,2013-10-22T22:00:00.000Z,false
127796,https://nuforc.org/sighting/?id=127796,Anchorage,AK,USA,1978-03-28 09:00,Circle,It was a total ghost to our radar.  ((no contact information provided by source)),2016-06-09T22:00:00.000Z,2016-06-09T22:00:00.000Z,false
135546,https://nuforc.org/sighting/?id=135546,Anchorage,AK,USA,1978-03-28 20:45,Orb,"BRIGHT WHITE ORB:  (Silently Followed 2 Witnesses), Two Sharp Turns, Instant Mach Speed Departure.",2017-08-03T22:00:00.000Z,2017-08-10T22:00:00.000Z,false
142920,https://nuforc.org/sighting/?id=142920,Canton,MO,USA,1978-03-15 23:00,Orb,At about 23:00 hrs. we noticed a fairly bright light to the north of us.,2018-08-22T22:00:00.000Z,2018-08-30T22:00:00.000Z,false
146692,https://nuforc.org/sighting/?id=146692,Eglin AFB,FL,USA,1978-03-01 10:00,Circle,Group of USAF cadets and an officer saw a saucer at an air force base.,2019-06-06T22:00:00.000Z,2019-06-19T22:00:00.000Z,false
