caseNumber,url,place,depCode,dateTime,physicalEffect,witnessEffect,entities,landing
1940,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1940,St Soupplets,77,1980-03-01 01:30,false,false,false,false
1941,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1941,Favalello,20B,1980-03-03 22:30,false,false,false,false
1947,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1947,St Porchaire,17,1980-03-03,false,false,false,false
1942,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1942,Ottmarsheim,68,1980-03-04 21:45,false,false,false,false
1943,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1943,Cussey sur l'Ognon,25,1980-03-05,false,false,false,false
1944,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1944,Valentigney,25,1980-03-05 20:30,false,false,false,false
1945,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1945,Voujeaucourt,25,1980-03-05 21:40,false,false,false,false
1946,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1946,St Porchaire,17,1980-03-07 22:15,true,false,false,false
2501,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2501,Longwy,54,1980-03-09 22:30,false,true,false,false
1948,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1948,Nogent le Rotrou,28,1980-03-10 22:50,false,false,false,false
2028,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2028,Authon du Perche,28,1980-03-12 22:45,false,false,false,false
1406,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1406,Marcilly,77,1980-03-19,false,false,false,false
2500,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2500,Leyr,54,1980-03-24 21:36,true,true,false,false
2029,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2029,Fontevraud l'Abbaye,49,1980-03-25,false,false,false,false
