description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.places,place.org.type,place.org.parent.parent,place.org.parent,place.place,place.org.parent.parent.parent
"le De nombreux témoins répartis dans tous les départements du Sud-Ouest observent pendant quelques secondes une très vive lueur blanche se déplaçant très rapidement avec une trainée importante dans une direction généralement indiquée Nord-Sud. Certains témoins entendent également une forte explosion accompagnant le phénomène. Un article dans le journal local permettra à de nombreux témoins de se manifester. (Les caractéristiques de l'observation privilégie l'hypothèse d'une rentrée atmosphérique de grande ampleur, probablement naturelle compte tenu de la direction observée).","",1991-10-10T21:30,,"""SEPRA"","""",s1,"""",,,PAN classé B",1991-10-10T21:30,case,https://rr0.org/time/1/9/9/1/10/index.html#1991-10-10T21:30
"Entre le et le jeudi 24 vers 07:00 A , 1 témoin filme avec son camescope un point très brillant dans le ciel. Lors de prises de vue avec un zoom maximal, on a une sphère avec 2 ""encoches"" qui se révèleront être un problème lié à l'objectif du camescope (Cette observation était probablement celle d'un astre).","",1991-10-20,Briey     (Lot),,,,"",,"","""SEPRA"","""",s2,"""",,,PAN classé B",1991-10-20,case,https://rr0.org/time/1/9/9/1/10/index.html#1991-10-20
"le 1ʳᵉ image rapprochée d'un astéroïde, Gaspra, par Galileo.","",1991-10-29,,"",1991-10-29,case,https://rr0.org/time/1/9/9/1/10/index.html#1991-10-29
