description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.parent.parent
le Essai du missile soviétique R2.,"",1949-09-21,,"",1949-09-21,sighting,https://rr0.org/time/1/9/4/9/09/index.html#1949-09-21
le Le président Harry S. Truman annonce que l'Union Soviétique à fait exploser une bombe atomique.,"",1949-09-23,,"",1949-09-23,sighting,https://rr0.org/time/1/9/4/9/09/index.html#1949-09-23
le 1er essai du missile sol-air français SE 4100.,"",1949-09-29,,"",1949-09-29,sighting,https://rr0.org/time/1/9/4/9/09/index.html#1949-09-29
