caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
4756,https://nuforc.org/sighting/?id=4756,New Canaan,CT,USA,1977-01-01 02:30,,possible abductions when I was a kid living in Ct. in the middle of the night i would be forcibly floated out of house by short people,1998-11-03T23:00:00.000Z,1998-11-18T23:00:00.000Z,false
20736,https://nuforc.org/sighting/?id=20736,Scottsbluff County (rural; western),NE,USA,1977-01-15 20:10,Chevron,"Popped up over hill out of nowhere, bright lights flashing",2001-12-07T23:00:00.000Z,2002-01-10T23:00:00.000Z,false
31995,https://nuforc.org/sighting/?id=31995,Adelaide (South Australia),,Australia,1977-01-10 11:00,Disk,Several people  witnessed positive UFO on clear day.,2003-10-01T22:00:00.000Z,2003-10-06T22:00:00.000Z,false
45792,https://nuforc.org/sighting/?id=45792,New York City (Manhattan),NY,USA,1977-01-01 19:30,Sphere,A small gray ball moved past my bedroom window on the 15th floor of a New York City apartment building.,2005-08-22T22:00:00.000Z,2005-09-01T22:00:00.000Z,false
54145,https://nuforc.org/sighting/?id=54145,Great Neck,NY,USA,1977-01-01 12:00,Cylinder,"When I was a child, I witnessed shiney gold cylinders in the sky.  The sky was very clear; not a cloud in the sky.  The objects were fl",2006-12-24T23:00:00.000Z,2007-01-31T23:00:00.000Z,false
60013,https://nuforc.org/sighting/?id=60013,La Crescenta,CA,USA,1977-01-01 20:00,Formation,Triangle formation in foothills.,2007-11-23T23:00:00.000Z,2007-11-27T23:00:00.000Z,false
64693,https://nuforc.org/sighting/?id=64693,Coventry,RI,USA,1977-01-19 20:30,Triangle,"Huge wing craft - 1000 feet in width hovered over house, no noise or lights",2008-07-20T22:00:00.000Z,2008-08-11T22:00:00.000Z,false
67059,https://nuforc.org/sighting/?id=67059,Dingman's Ferry,PA,USA,1977-01-15 01:00,Light,"While working as a security guard at Wild Acres Lake in 1977 saw a bright rise off the ground, hover over trees and shoot off into sky.",2008-11-20T23:00:00.000Z,2009-01-09T23:00:00.000Z,false
67658,https://nuforc.org/sighting/?id=67658,El Paso,TX,USA,1977-01-14 22:00,Unknown,Bright light deep in space moving very fast,2008-12-25T23:00:00.000Z,2009-01-09T23:00:00.000Z,false
74285,https://nuforc.org/sighting/?id=74285,Westminster,CA,USA,1977-01-01 20:00,Disk,"There were two ships, saucer shaped, silver grey..like pewter, soundless, drifting over our neighborhood like silent boats on the water",2010-02-03T23:00:00.000Z,2010-02-13T23:00:00.000Z,false
82928,https://nuforc.org/sighting/?id=82928,Fall River/North Tiverton,RI,USA,1977-01-18 17:45,Oval,"ABOUT 150 FEET IN THE SKY WAS THIS MAGNIFICENT GLOWING WHITE OVAL SHAPED OBJECT BRIGHTER THAN A FLUORESCENT LIGHT, IT HOVERED.",2011-08-03T22:00:00.000Z,2011-08-06T22:00:00.000Z,false
107166,https://nuforc.org/sighting/?id=107166,Riverside,RI,USA,1977-01-18 17:45,Oval,"UFO EXPERIENCE (PHENOMENA) TUESDAY JANUARY 18, 1977",2014-02-14T23:00:00.000Z,2014-02-20T23:00:00.000Z,false
125528,https://nuforc.org/sighting/?id=125528,Houston,TX,USA,1977-01-14 01:45,Oval,"((HOAX??))  At Milby Park, near junction of 610and hwy.225. Extremely cold nite for Houston.",2016-01-29T23:00:00.000Z,2016-02-03T23:00:00.000Z,false
145337,https://nuforc.org/sighting/?id=145337,Rural,MT,USA,1977-01-31 02:00,Triangle,Lights in the night sky tracked us after completing maintenance on an ICBM,2019-03-23T23:00:00.000Z,2019-03-28T23:00:00.000Z,false
152972,https://nuforc.org/sighting/?id=152972,Dearborn,MI,USA,1977-01-10 20:30,Triangle,"Slow, low flying triangle with no sound",2020-01-29T23:00:00.000Z,2020-01-30T23:00:00.000Z,false
171279,https://nuforc.org/sighting/?id=171279,Kill devil hills,NC,USA,1977-01-03 11:59,Cigar,Cigar shape with lights going around.,2022-08-19T22:00:00.000Z,2022-09-08T22:00:00.000Z,false
180237,https://nuforc.org/sighting/?id=180237,Columbia,SC,USA,1977-01-05 21:02,Unknown,"When I was a boy, I was spending the night with my grandparents, and suddenly there was a bright light that engulfed the house",2024-01-29T23:00:00.000Z,2024-02-14T23:00:00.000Z,false
