caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
10350,https://nuforc.org/sighting/?id=10350,Augusta (Ft. Gordon),GA,USA,1977-04-17 22:00,Rectangle,"As I reported in my first submission, I was standing guard, with a Pvt. Rodriguez.  And noticed a fireball similar to the one I witness",1999-10-26T22:00:00.000Z,1999-11-01T23:00:00.000Z,false
16729,https://nuforc.org/sighting/?id=16729,Sinton,TX,USA,1977-04-30 23:00,Oval,i did not  look scary or spooky just  something i had never seen before or since,2001-03-05T23:00:00.000Z,2001-03-05T23:00:00.000Z,false
18604,https://nuforc.org/sighting/?id=18604,Long Green,MD,USA,1977-04-17 16:30,Disk,"Black Disc, Light driven",2001-07-23T22:00:00.000Z,2001-08-04T22:00:00.000Z,false
22475,https://nuforc.org/sighting/?id=22475,Clearence Center,NY,USA,1977-04-15 23:00,Oval,close encounter in ny,2002-04-08T22:00:00.000Z,2002-04-24T22:00:00.000Z,false
35163,https://nuforc.org/sighting/?id=35163,South Royalton,VT,USA,1977-04-16 14:00,Disk,"As reported to MUFONCT:  While driving south on rt 89 near South Royalton, VT I spotted huge dark, metallic gray  with sectioned plated",2004-02-17T23:00:00.000Z,2004-03-01T23:00:00.000Z,false
36530,https://nuforc.org/sighting/?id=36530,Louisville,KY,USA,1977-04-01 22:00,Light,"Three lights moving in the sky.Two white,one red. The size of a small aircraft light. Form a triangle and then shoot off backwards.",2004-04-24T22:00:00.000Z,2004-04-26T22:00:00.000Z,false
46153,https://nuforc.org/sighting/?id=46153,Kansas City,MO,USA,1977-04-26 18:05,Other,"Symmetric geometric shape, black with blinking long red lights.",2005-09-09T22:00:00.000Z,2005-09-14T22:00:00.000Z,false
57074,https://nuforc.org/sighting/?id=57074,Silver Spring,MD,USA,1977-04-11 14:00,Disk,"Saw a saucer hovering over the, then Hebrew Congregation on Lockwood Drive. It was less than a 100 yds from me, as clear as day.",2007-06-13T22:00:00.000Z,2007-08-06T22:00:00.000Z,false
63048,https://nuforc.org/sighting/?id=63048,Hattiesburg,MS,USA,1977-04-15 05:00,Cigar,cigar-shaped white mettallilc object with four red and green lights positioned beside it - seen in daylight,2008-05-06T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
63053,https://nuforc.org/sighting/?id=63053,Hattiesburg,MS,USA,1977-04-15 17:00,Cigar,cigar-shaped white mettallilc object with four red and green lights positioned beside it - seen in daylight,2008-05-06T22:00:00.000Z,2008-06-11T22:00:00.000Z,false
88427,https://nuforc.org/sighting/?id=88427,Phoenix,AZ,USA,1977-04-15 21:00,Cigar,"Large dark moving void in the night sky over Phoenix, Arizona",2012-04-14T22:00:00.000Z,2012-04-17T22:00:00.000Z,false
125415,https://nuforc.org/sighting/?id=125415,Xenia,OH,USA,1977-04-20 21:00,Disk,Disk crashed into oak tree wedging itself about 20ft off ground and the heat coming off it caused tree sap to boil into dense fog.,2016-01-22T23:00:00.000Z,2016-01-28T23:00:00.000Z,false
149395,https://nuforc.org/sighting/?id=149395,Thomasville,NC,USA,1977-04-14 23:00,Disk,"The even occurred North of Mt Calvary Rd on Old 85 on April 14, 1977. I left the library at UNC-Greensboro just about 10 pm to drive h",2019-09-30T22:00:00.000Z,2019-10-03T22:00:00.000Z,false
166289,https://nuforc.org/sighting/?id=166289,Danielsville,GA,USA,1977-04-15 21:00,,My mother and I saw this big bright orangish-yellow light in the woods near the trailer park where we lived back in the 1970's.,2022-01-17T23:00:00.000Z,2022-03-03T23:00:00.000Z,false
172683,https://nuforc.org/sighting/?id=172683,Portland,OR,USA,1977-04-06 16:30,Disk,In slow traffic we saw a UFO hovering just above the ground in meadow next to I-5.,2022-10-30T23:00:00.000Z,2022-12-21T23:00:00.000Z,false
