caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
5088,https://nuforc.org/sighting/?id=5088,"Melbourne (VIC, Australia)",VI,Australia,1970-01-15 22:30,Circle,"We were sitting outside on a hot night, when one of us observed what looked like a star moving across the sky.",1998-12-11T23:00:00.000Z,1999-01-27T23:00:00.000Z,false
5688,https://nuforc.org/sighting/?id=5688,Hemet,CA,USA,1970-01-15 21:00,Cylinder,"Large at least 20 feet metallic ball, blue grey (but it did change colors),like liquid metal, outside of my Mothers house just off the ",1999-02-23T23:00:00.000Z,1999-04-01T22:00:00.000Z,false
5974,https://nuforc.org/sighting/?id=5974,Lake Wales,FL,USA,1970-01-16 19:00,Oval,I had a very close encounter with a ufo.  It was almost on top of my truck.  They were observing me and had forced me pull over.,1999-03-20T23:00:00.000Z,1999-04-01T22:00:00.000Z,false
11707,https://nuforc.org/sighting/?id=11707,Danville,NH,USA,1970-01-20 15:00,,sister ans i were sliding in the snow;when this egg object landed;,2000-01-15T23:00:00.000Z,2000-01-21T23:00:00.000Z,false
25803,https://nuforc.org/sighting/?id=25803,Algiers (Algeria),,Algeria,1970-01-14 21:00,Rectangle,Bright and low flying UFO's,2002-10-25T22:00:00.000Z,2002-10-27T23:00:00.000Z,false
26599,https://nuforc.org/sighting/?id=26599,Panama,,Panama,1970-01-01 19:00,Light,possible abduction?,2002-12-12T23:00:00.000Z,2002-12-22T23:00:00.000Z,false
32969,https://nuforc.org/sighting/?id=32969,Grand Rapids,MI,USA,1970-01-01 12:00,Disk,"Low flying, zig-zagging disc with lights in the 70's",2003-11-08T23:00:00.000Z,2003-11-10T23:00:00.000Z,false
36115,https://nuforc.org/sighting/?id=36115,Denver/Golden (between),CO,USA,1970-01-24 20:15,Cigar,"cigar shaped object with colors of orange, blue and green that changed colors in a strobe from orange to blue to green over and over.",2004-04-09T22:00:00.000Z,2004-04-26T22:00:00.000Z,false
52882,https://nuforc.org/sighting/?id=52882,Candia,NH,USA,1970-01-05 22:00,Light,I was taking a late night walk on a cold calm January night. I passed between a barn and house following an old tote road used by snowm,2006-10-09T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
75909,https://nuforc.org/sighting/?id=75909,Joplin,MO,USA,1970-01-01 02:00,Unknown,Large object moved slowly over the city,2010-06-22T22:00:00.000Z,2010-07-05T22:00:00.000Z,false
84924,https://nuforc.org/sighting/?id=84924,San Mateo,CA,USA,1970-01-22 10:00,Sphere,Schools kids witness UFO,2011-10-26T22:00:00.000Z,2011-12-11T23:00:00.000Z,false
88269,https://nuforc.org/sighting/?id=88269,San Juan (Puerto Rico),PR,USA,1970-01-01 12:00,Disk,Circa 1970,2012-04-07T22:00:00.000Z,2012-04-17T22:00:00.000Z,false
136525,https://nuforc.org/sighting/?id=136525,,-,USA,1970-01-01 12:00,,Death bed details from JPL witness.,2017-10-01T22:00:00.000Z,2017-10-04T22:00:00.000Z,false
160087,https://nuforc.org/sighting/?id=160087,Telford,AL,USA,1970-01-01 13:00,Oval,They are desperate fighting another factor,2020-10-19T22:00:00.000Z,2020-12-22T23:00:00.000Z,false
