type,events,url,place,time,description,sources,id,place.name,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName
case,"",https://rr0.org/time/1/9/8/7/index.html#1987-11,,1987-11,en,"",1987-11
case,"",https://rr0.org/time/1/9/8/7/index.html#1987-12,,1987-12,"Hiver en En Italie, sur l'autoroute du Nord, les lumières des batteries de faisceaux de Franck-Luc Dancelme sont prises pour des ovnis.",""""",""Franck Dancelme : Vendeur de rêves"",s12,""G. B."",Ouest France,1988,""""",1987-12
