caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
11911,https://nuforc.org/sighting/?id=11911,Chicopee,MA,USA,1980-01-01 23:30,Diamond,"I heard a noise like thunder, went to the kitchen window and saw a black diamond-shaped craft hovering over the porch.",2000-02-08T23:00:00.000Z,2000-02-15T23:00:00.000Z,false
16251,https://nuforc.org/sighting/?id=16251,Exeter,NH,USA,1980-01-10 00:00,Disk,"saw what appeared as very bright star, somewhat orange, yellow which changed in intensity to very bright, from bright. was standing on ",2001-02-05T23:00:00.000Z,2001-02-17T23:00:00.000Z,false
19781,https://nuforc.org/sighting/?id=19781,Los Angeles,CA,USA,1980-01-21 14:30,Diamond,Spinning metallic diamonds over Super Bowl,2001-10-08T22:00:00.000Z,2001-10-11T22:00:00.000Z,false
21147,https://nuforc.org/sighting/?id=21147,Bremen (Germany),,Germany,1980-01-13 21:50,,in the night of 13.january to 14.01.1980 at 21:50 at night my girlfraind and i have seen a very big UFO. first we are thinking it is a ,2002-01-08T23:00:00.000Z,2002-01-10T23:00:00.000Z,false
34214,https://nuforc.org/sighting/?id=34214,Albany,IL,USA,1980-01-15 22:00,Disk,saucer over corn field on a cold winter night.,2003-12-29T23:00:00.000Z,2004-01-16T23:00:00.000Z,false
36951,https://nuforc.org/sighting/?id=36951,Omaha,NE,USA,1980-01-01 02:00,Other,Dreams,2004-05-14T22:00:00.000Z,2004-06-03T22:00:00.000Z,false
41786,https://nuforc.org/sighting/?id=41786,Orinda,CA,USA,1980-01-12 23:00,Sphere,My house was on the golf course  i became very uneasy and had butterflys in my stomache  I picked up a firearm  before the sighting a s,2005-02-04T23:00:00.000Z,2005-02-07T23:00:00.000Z,false
42453,https://nuforc.org/sighting/?id=42453,Wichita,KS,USA,1980-01-11 23:00,Cigar,"Cigar-shaped, city-block long, silent, super-slow forward moving and descending, three red lights, blotted out the stars w/black.",2005-02-25T23:00:00.000Z,2005-05-10T22:00:00.000Z,false
44259,https://nuforc.org/sighting/?id=44259,"Yorkeys Knob (North of Cairns) (QLD, Australia))",,Australia,1980-01-01 19:00,Other,"1 slow moving UFO rising from East (ocean) to West, on straight path, rectangular/cylindrical shape.",2005-06-04T22:00:00.000Z,2005-06-19T22:00:00.000Z,false
56902,https://nuforc.org/sighting/?id=56902,Indianapolis,IN,USA,1980-01-01 01:00,Light,Very bright green light without sound moved over me and my car from a wooded area about a 1000 ft. up.,2007-05-31T22:00:00.000Z,2007-06-11T22:00:00.000Z,false
59093,https://nuforc.org/sighting/?id=59093,Toronto (Canada),ON,Canada,1980-01-15 21:45,Disk,Super-colossal circle of rotating lights perpendicular to the ground "sailing" over major city.,2007-10-03T22:00:00.000Z,2007-10-07T22:00:00.000Z,false
68590,https://nuforc.org/sighting/?id=68590,Virginia Beach,VA,USA,1980-01-23 22:30,Cylinder,A "cylinder [shaped] object” that had a “white light with a red dot”  and was “over roof top” and then “went behind the houses.",2009-02-11T23:00:00.000Z,2009-03-18T23:00:00.000Z,false
78446,https://nuforc.org/sighting/?id=78446,Pittsburgh (north of),PA,USA,1980-01-15 22:00,Oval,Two glowing disks seen over an Interstate highway in Western Pennsylvania.,2010-10-17T22:00:00.000Z,2010-11-20T23:00:00.000Z,false
84925,https://nuforc.org/sighting/?id=84925,Murphy/Arnold,CA,USA,1980-01-22 02:00,Sphere,Tracked by a UFO,2011-10-26T22:00:00.000Z,2011-12-11T23:00:00.000Z,false
125822,https://nuforc.org/sighting/?id=125822,Laramie,WY,USA,1980-01-01 20:00,Unknown,UFO flew in a zig-zag motion from north to south in 10 seconds.,2016-02-12T23:00:00.000Z,2016-02-18T23:00:00.000Z,false
151799,https://nuforc.org/sighting/?id=151799,LaVista,NE,USA,1980-01-01 05:30,,"I was in 7th or 8th grade at the time, Myself and 2 friends were walking together to school, for early morning basketball practice at a",2019-12-20T23:00:00.000Z,2019-12-21T23:00:00.000Z,false
162215,https://nuforc.org/sighting/?id=162215,Winchester,IL,USA,1980-01-15 11:15,Cylinder,Object with red lights appeared nightly outside my upstairs bedroom window through the tree branches as if it wanted to communicate.,2021-02-23T23:00:00.000Z,2021-03-01T23:00:00.000Z,false
174586,https://nuforc.org/sighting/?id=174586,Los Angeles,CA,USA,1980-01-03 16:50,Disk,A huge brightly-lit aerial object approached and moved behind school buildings and quickly ascended in front of the witnesses.,2023-02-14T23:00:00.000Z,2023-03-05T23:00:00.000Z,true
178736,https://nuforc.org/sighting/?id=178736,,NJ,USA,1980-01-16 23:07,Triangle,A triangular uap silently appeared maybe 40-50 ft overhead. It was maybe 25-30 ft long.,2023-10-07T22:00:00.000Z,2023-10-27T22:00:00.000Z,false
180102,https://nuforc.org/sighting/?id=180102,Bletchley,England,United Kingdom,1980-01-10 21:00,Orb,A very bright orb/sphere decended down and hovered right in front of us and it also made a loud humming noise,2024-01-18T23:00:00.000Z,2024-02-14T23:00:00.000Z,true
