caseNumber,url,sightingPlace,city,dateTime,dateTimeRefinement,classification
52,https://www.fufora.fi/ufodata.php?u=52&p=1&sid=,lokkanperin mäki,pohjanmaa,1980-01-01,,8ALU6P4
1062,https://www.fufora.fi/ufodata.php?u=1062&p=1&sid=,Aligastunturi,Utsjoki,1980-01-01,1980-luvulla,5ESK7Y6
2084,https://www.fufora.fi/ufodata.php?u=2084&p=1&sid=,Kokkola,,1980-01-01,"Kevät talvi. Lunta oli joka paikassa, mutta lämpö n. 0 astet",3LIV6Y4
