description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
en,"",sighting,1980-01$,,"",1980-01,event,https://rr0.org/time/1/9/8/0/index.html#1980-01
en,"",sighting,1980-02$,,"",1980-02,event,https://rr0.org/time/1/9/8/0/index.html#1980-02
en,"",sighting,1980-03$,,"",1980-03,event,https://rr0.org/time/1/9/8/0/index.html#1980-03
en,"",sighting,1980-04$,,"",1980-04,event,https://rr0.org/time/1/9/8/0/index.html#1980-04
en,"",sighting,1980-05$,,"",1980-05,event,https://rr0.org/time/1/9/8/0/index.html#1980-05
en,"",sighting,1980-06$,,"",1980-06,event,https://rr0.org/time/1/9/8/0/index.html#1980-06
en,"",sighting,1980-07$,,"",1980-07,event,https://rr0.org/time/1/9/8/0/index.html#1980-07
en,"",sighting,1980-08$,,"",1980-08,event,https://rr0.org/time/1/9/8/0/index.html#1980-08
en,"",sighting,1980-09$,,"",1980-09,event,https://rr0.org/time/1/9/8/0/index.html#1980-09
en,"",sighting,1980-10$,,"",1980-10,event,https://rr0.org/time/1/9/8/0/index.html#1980-10
en,"",sighting,1980-11$,,"",1980-11,event,https://rr0.org/time/1/9/8/0/index.html#1980-11
en,"",sighting,1980-12$,,"",1980-12,event,https://rr0.org/time/1/9/8/0/index.html#1980-12
Vague d'observations en Chine. 98 signalements parviennent à la CURO.,"",sighting,1980$,,"",1980,event,https://rr0.org/time/1/9/8/0/index.html
"A Porto Rico, observation de créatures aux oreilles pointues et aux pieds palmés.","",sighting,1980$,,"",1980,event,https://rr0.org/time/1/9/8/0/index.html
"Le mot extra-terrestre entre dans le Petit Larousse Illustré, avec la définition suivante : Extérieur à l'atmosphère terrestre et substantif Habitant supposé d'une autre planète que la Terre.","",sighting,1980$,,"",1980,event,https://rr0.org/time/1/9/8/0/index.html
"Paul Bennewitz enquête pour l'APRO sur un cas d'enlèvement de la fin des années 1970s, impliquant une femme et son fils. Le docteur Leo Sprinkle leur fait faire une regression sous hypnose, où la femme indique qu'une assiette d'acier a été implantée dans son cerveau gauche pour leur protection.","",sighting,1980$,,""""","""",s1,"""",,Howe",1980,event,https://rr0.org/time/1/9/8/0/index.html
