caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
2584,https://nuforc.org/sighting/?id=2584,Medford,OR,USA,1979-03-01 04:00,Unknown,"While in flight landing at Medford from Klammath Falls, I spoted what appeared to be another aircraft flying the opposite direction.  S",1997-07-24T22:00:00.000Z,1998-09-25T22:00:00.000Z,false
3325,https://nuforc.org/sighting/?id=3325,Woodinville (N.E. 189th Street),WA,USA,1979-03-15 19:00,Light,"In 1979, a large circular light was seen over the neighbors house behind N.E. 189th Street in Woodinville.",1998-03-11T23:00:00.000Z,1999-01-27T23:00:00.000Z,false
6827,https://nuforc.org/sighting/?id=6827,Lee's Summit,MO,USA,1979-03-11 16:00,Flash,CANT EXPLANE NEVER HAD ANY THING HAPPEN LIKE THAT? QUICK FLASH AND IT WAS GONE? JUST A BRITELITE NO CRAFT? IT was so low? like it ALMOS,1999-04-21T22:00:00.000Z,1999-05-23T22:00:00.000Z,false
11104,https://nuforc.org/sighting/?id=11104,Buies Creek,NC,USA,1979-03-10 02:00,Disk,"While living on the edge of the campus of Campbell College in Buies Creek, NC I saw a large saucer shaped object on the ground.",1999-11-21T23:00:00.000Z,1999-11-22T23:00:00.000Z,false
23334,https://nuforc.org/sighting/?id=23334,"Sydney (NSW, Australia)",,Australia,1979-03-20 22:45,Circle,"Green Ball travelling E to  W 1,500  altitude. Entered cloud, changed direction.",2002-06-16T22:00:00.000Z,2002-06-30T22:00:00.000Z,false
23448,https://nuforc.org/sighting/?id=23448,Baker City,OR,USA,1979-03-24 22:00,Cigar,"Large, cigar-shaped craft w / windows travelling south to NNE near Baker, Oregon @ appx. 22:00 on March 24th, 1979.",2002-06-24T22:00:00.000Z,2002-06-30T22:00:00.000Z,false
34875,https://nuforc.org/sighting/?id=34875,North Webster,IN,USA,1979-03-25 23:50,Other,"We had went to FT.Wayne ,IN. We left Ft. Wayne at 11:15pm to head home , we allways take ST RD Old 30 WEST out of Columbia City ,We was",2004-02-03T23:00:00.000Z,2004-02-11T23:00:00.000Z,false
35206,https://nuforc.org/sighting/?id=35206,California Hot Springs,CA,USA,1979-03-10 20:00,Disk,saucer larger than a sierra nevada mountain,2004-02-20T23:00:00.000Z,2004-03-01T23:00:00.000Z,false
40708,https://nuforc.org/sighting/?id=40708,Downey,CA,USA,1979-03-01 23:29,Chevron,Very large silent slim chevron aircraft over Downey CA 1979,2004-11-19T23:00:00.000Z,2004-12-02T23:00:00.000Z,false
51560,https://nuforc.org/sighting/?id=51560,Between Jackson Fla. & Atlanta Ga.,GA,USA,1979-03-30 22:00,Circle,"Saw from airplane window, seemed to be on the ground,but shoot straright up and was higher than the plane.",2006-08-06T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
54227,https://nuforc.org/sighting/?id=54227,Middletown,PA,USA,1979-03-29 05:30,Disk,.TMI saved from completely melting down from UFO during the accident baffelling the scientist that said it didn't melt when it Did,2006-12-29T23:00:00.000Z,2007-01-31T23:00:00.000Z,false
65626,https://nuforc.org/sighting/?id=65626,Middletown,PA,USA,1979-03-31 06:10,Oval,It had a super bright light on the bottom and was a silver color with a couple of rect. windows and shot right up to the moon and behin,2008-09-09T22:00:00.000Z,2008-10-30T23:00:00.000Z,false
65781,https://nuforc.org/sighting/?id=65781,Big Sur (Lucia),CA,USA,1979-03-25 20:00,Triangle,"triangular glowing, amber object lighting circle of ocean, leaving glowing light and dropping 2 glowing objects into ocean, silent,",2008-09-18T22:00:00.000Z,2008-10-30T23:00:00.000Z,false
93233,https://nuforc.org/sighting/?id=93233,Thunder Bay (Canada),ON,Canada,1979-03-15 18:00,Unknown,Flashing row of lights,2012-09-30T22:00:00.000Z,2012-10-29T23:00:00.000Z,false
127663,https://nuforc.org/sighting/?id=127663,Jacksonville Flat & Atlanta (between),GA,USA,1979-03-30 22:00,Circle,"An object sitting on the ground pulsating red and white then decelerating straight up to maybe 60,000 feet in less then three seconds.",2016-06-02T22:00:00.000Z,2016-06-02T22:00:00.000Z,false
146890,https://nuforc.org/sighting/?id=146890,Windsor,CA,USA,1979-03-25 10:15,Cylinder,"Chrome cylinder hovers at vertical angle 5,000 or more up on a clear cloudless day.  ((anonymous report))",2019-06-17T22:00:00.000Z,2019-06-19T22:00:00.000Z,false
