caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
8169,https://nuforc.org/sighting/?id=8169,Tiffen Valley,OH,USA,1978-04-21 00:00,Flash,"Was with friend, hitchhiking from New Hampshire to Illinois. Police kicked us off of the highway and we wound up on back roads and in T",1999-06-26T22:00:00.000Z,1999-07-04T22:00:00.000Z,false
23703,https://nuforc.org/sighting/?id=23703,Farmington,NM,USA,1978-04-01 04:00,Circle,Daytime ufos that appeared above Farmington New Mexico in 1978.,2002-07-10T22:00:00.000Z,2002-07-25T22:00:00.000Z,false
38174,https://nuforc.org/sighting/?id=38174,Albuquerque,NM,USA,1978-04-15 18:00,Disk,red glowing object in daytime sky,2004-07-16T22:00:00.000Z,2004-07-24T22:00:00.000Z,false
38637,https://nuforc.org/sighting/?id=38637,Westland,MI,USA,1978-04-19 23:00,Disk,"Approx 50-75 feet above us, 30-40 ft diameter, metal, saucer shaped UFO, colored lights all around, 2 bright white lights.",2004-08-12T22:00:00.000Z,2004-08-23T22:00:00.000Z,false
44261,https://nuforc.org/sighting/?id=44261,São Paulo (Brazil),,Brazil,1978-04-12 09:00,Cylinder,"Por volta de 9:00 da manha descendo a serra de santos de trem,perto de paranapiacaba avistei entre a fenda um objeto de forma cilindric",2005-06-04T22:00:00.000Z,2005-06-19T22:00:00.000Z,false
45700,https://nuforc.org/sighting/?id=45700,Olongapo,,Philippines,1978-04-15 21:00,Sphere,"Gigantic sphere covered with triangula patterns of various and continously changing colored light, totally silent propulsion sys.",2005-08-20T22:00:00.000Z,2005-09-01T22:00:00.000Z,false
47196,https://nuforc.org/sighting/?id=47196,Natick,MA,USA,1978-04-04 21:00,Sphere,"GIANT UFO - Natick, MA on Route 9 behind CAR WASH - either 1977 or 1978.",2005-10-23T22:00:00.000Z,2005-11-02T23:00:00.000Z,false
51642,https://nuforc.org/sighting/?id=51642,Richardson,TX,USA,1978-04-15 13:00,Other,"Elongated wedge shaped UFO, smooth silver in color, in the daytime.",2006-08-11T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
51890,https://nuforc.org/sighting/?id=51890,Green Springs,OH,USA,1978-04-01 21:30,Cylinder,The begining of the lights in the night,2006-08-03T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
52964,https://nuforc.org/sighting/?id=52964,Natick,MA,USA,1978-04-04 21:15,Sphere,"GIANT UFO - Natick, MA on Route 9 behind CAR WASH - either 1977 or 1978 additional confirmation.",2006-10-16T22:00:00.000Z,2006-10-29T23:00:00.000Z,false
59109,https://nuforc.org/sighting/?id=59109,Natick,MA,USA,1978-04-04 22:00,Sphere,"GIANT UFO - Natick, MA ...Route 9 behind CAR WASH****MORE FOLLOW-UP INFO****April 1978",2007-10-04T22:00:00.000Z,2007-10-07T22:00:00.000Z,false
62462,https://nuforc.org/sighting/?id=62462,Chittenango,NY,USA,1978-04-06 20:00,,"Red lights glaring over the sky of Town of Sullivan, Madison County, NY",2008-03-30T22:00:00.000Z,2008-04-16T22:00:00.000Z,false
70181,https://nuforc.org/sighting/?id=70181,Pleasant Hill,OR,USA,1978-04-15 13:00,Unknown,Grandfather and grandson levitated in dump truck.

 500 Lights On Object0: Yes,2009-05-23T22:00:00.000Z,2009-06-08T22:00:00.000Z,false
71965,https://nuforc.org/sighting/?id=71965,Los Angeles,CA,USA,1978-04-04 02:00,Unknown,strange blue light enhances IQ,2009-08-29T22:00:00.000Z,2009-12-11T23:00:00.000Z,false
117891,https://nuforc.org/sighting/?id=117891,Silver Spring,MD,USA,1978-04-24 19:00,Circle,Extremely large circular craft hovering over our apartment complex.,2015-03-17T23:00:00.000Z,2015-03-19T23:00:00.000Z,false
139360,https://nuforc.org/sighting/?id=139360,Bluff City,TN,USA,1978-04-15 03:30,Sphere,Red Sphere shaped craft sited in the early morning hours in rural East Tennessee.,2018-04-03T22:00:00.000Z,2018-04-04T22:00:00.000Z,false
161752,https://nuforc.org/sighting/?id=161752,Padstow Heights (Austra;ia),,Australia,1978-04-20 20:00,Disk,I was in a boat with a friend on Salt Pan creek and we were rowing a boat. As we passed a jetty I noticed what I thought was a duck sit,2021-01-23T23:00:00.000Z,2021-03-01T23:00:00.000Z,false
